"","Trait","tG-S","tF-S","tF-G","pG-S","pF-S","pF-G","ANOVA","phylANOVA","lambda","n"
"1","Leaf_size",0.2460474267208,0.648676550936668,0.0551923630463648,0.184,0.296,0.036,0.0686293575401411,0.039,0.609430908335849,108
"2","Leaf_thickness",0.0754787942671061,8.07545318394221e-05,0.244432933611982,0.06,0.003,0.1,0.00013426397649774,0.001,0.110140114049909,108
"3","SLA",0.202462791074502,7.30734973197755e-07,0.00788909209130495,0.083,0.003,0.006,1.3315991420586e-06,0.001,6.61103516965112e-05,108
"4","Max_height",0.00494513173305944,0.000167782861434596,0.944285718280272,0.01,0.003,0.791,9.69277986200069e-05,0.002,0.247580452494908,116
"5","Height_at_5cm",3.06159512488691e-05,1.10649489570847e-09,0.247712255733178,0.003,0.003,0.216,5.73435054656832e-10,0.001,0.256226159746596,93
"6","Crown_ratio",0.430414247994284,0.529904700199331,0.961660219525353,0.708,0.708,0.775,0.384822714915704,0.353,6.61103516965112e-05,103
"7","Bark_at_5cm",0.111928094595959,1.26327486249522e-08,0.000694424165637031,0.028,0.003,0.003,2.10789141547854e-08,0.001,0.211222643878971,91
"8","Bark_at_8mm",0.011410254156426,1.80975022590069e-06,0.212048028447414,0.003,0.003,0.076,2.86479173490293e-06,0.001,0.507225711790461,108
"9","Wood_density",0.0940175302994058,0.131754773969173,0.920395170226356,0.088,0.063,0.695,0.0589361655335333,0.043,0.616383624251588,108
"10","Light_at_5cm",0.120552327607251,0.0136002449479179,0.858083027086931,0.044,0.03,0.641,0.0136373210229911,0.022,0.216017125545626,94
