Species,FG,Life Form
Actinostemon schomburgkii,F,treelet
Adenocalymma axillare,S,shrub
Aegiphila verticillata,S,tree
Alibertia edulis,S,Treelet
Amaioua intermedia,G,tree
Anadenanthera peregrina,G,tree
Annona cacans,F,tree
Annona coriacea,S,tree
Annona crassiflora,S,tree
Annona dioica,S,shrub
Annona nutans,S,shrub
Aspidosperma tomentosum,S,tree
Baccharis dracunculifolia,G,treelet
Banisteriopsis campestris,S,shrub
Bauhinia longifolia,F,tree
Bauhinia rufa,S,shrub
Blepharocalyx salicifolius,G,tree
Bowdichia virgilioides,S,tree
Brosimum gaudichaudii,S,tree
Byrsonima basiloba,S,tree
Byrsonima coccolobifolia,S,tree
Byrsonima intermedia,S,shrub
Calyptranthes concinna,F,tree
Calyptranthes lucida,F,tree
Campomanesia adamantium,S,shrub
Campomanesia guaviroba,F,tree
Campomanesia guazumifolia,F,tree
Campomanesia xanthocarpa,F,tree
Cariniana estrellensis,F,tree
Caryocar brasiliense,S,tree
Casearia decandra,F,tree
Casearia gossypiosperma,F,tree
Casearia lasiophylla,F,tree
Casearia sylvestris,F,tree
Cedrela fissilis,F,tree
Cestrum mariquitense,F,shrub
Chamaecrista cathartica,S,shrub
Chiococca alba,F,shrub
Chomelia obtusa,F,treelet
Chromolaena laevigata,G,shrub
Chromolaena maximilianii,G,shrub
Chromolaena oxylepis,G,shrub
Chromolaena squalida,G,shrub
Chrysophyllum marginatum,G,tree
Citrus ­? limon,F,tree
Connarus suberosus,S,treelet
Copaifera langsdorffii,G,tree
Cordia sellowiana,F,tree
Cordia trichotoma,F,tree
Coutarea hexandra,G,tree
Croton floribundus,F,tree
Cupania tenuivalvis,G,treelet
Cupania vernalis,F,tree
Cybistax antisyphilitica,S,tree
Dalbergia miscolobium,S,tree
Daphnopsis fasciculata,G,tree
Daphnopsis racemosa,G,tree
Dasyphyllum,F,tree
Davilla elliptica,S,shrub
Dendropanax cuneatus,F,tree
Dimorphandra mollis,S,tree
Diospyros hispida,S,tree
Duguetia furfuracea,S,shrub
Eriotheca gracilipes,S,tree
Erythroxylum cuneifolium,S,shrub
Erythroxylum deciduum,G,tree
Erythroxylum pelleterianum,G,treelet
Erythroxylum suberosum,S,treelet
Esenbeckia febrifuga,F,treelet
Eugenia aurata,S,treelet
Eugenia bimarginata,S,shrub
Eugenia florida,F,tree
Eugenia livida,S,treelet
Eugenia myrcianthes,G,tree
Eugenia punicifolia,S,treelet
Eugenia pyriformis,S,treelet
