Species,Family,Life Form,Leaf sample?,Tree core?
Lithraea molleoides,Anacardiaceae,tree,Y,Y
Tapirira guianensis,Anacardiaceae,tree,Y,Y
Annona coriacea,Annonaceae,tree,Y,Y
Annona crassiflora,Annonaceae,tree,Y,Y
Annona dioica,Annonaceae,shrub,Y,N
Duguetia furfuracea,Annonaceae,shrub,Y,N
Guatteria nigrescens,Annonaceae,tree,Y,Y
Tabernaemontana catharinensis,Apocynaceae,tree,Y,Y
Schefflera vinosa,Araliaceae,treelet,Y,N
Syagrus rommanzofiana,Arecaceae,tree,Y,N
Baccharis dracunculifolia,Asteraceae,treelet,Y,N
Gochnatia barrosii,Asteraceae,shrub,Y,N
Gochnatia polymorpha,Asteraceae,tree,Y,Y
Piptocarpha axillaris,Asteraceae,tree,Y,N
Piptocarpha rotundifolia,Asteraceae,treelet,Y,N
Jacaranda caroba,Bignoniaceae,shrub,Y,N
Tabebuia ochracea,Bignoniaceae,tree,Y,Y
Zeyheria montana,Bignoniaceae,shrub,Y,N
Eriotheca gracilipes,Bombacaceae,tree,Y,Y
Caryocar brasiliense,Caryocaraceae,tree,Y,Y
Plenckia populnea,Celastraceae,tree,Y,Y
Kielmeyera coriacea,Clusiaceae,tree,Y,Y
Terminalia glabrescens,Combretaceae,tree,Y,Y
Connarus suberosus,Connaraceae,treelet,Y,N
Diospyros hispida,Ebenaceae,tree,Y,Y
Erythroxylum cunneifolium,Erythroxylaceae,shrub,Y,N
Erythroxylum suberosum,Erythroxylaceae,treelet,Y,N
Pera obovata,Euphorbiaceae,tree,Y,Y
Anadenanthera falcata,Fabaceae,tree,Y,Y
Bauhinia longifolia,Fabaceae,tree,Y,Y
Bowdichia virgilioides,Fabaceae,tree,Y,N
Copaifera langsdorffii,Fabaceae,tree,Y,Y
Dimorphandra mollis,Fabaceae,tree,Y,Y
Leptolobium elegans,Fabaceae,tree,Y,Y
Machaerium acutifolium,Fabaceae,tree,Y,Y
Machaerium brasiliense,Fabaceae,tree,Y,Y
Platypodium elegans,Fabaceae,tree,Y,Y
Stryphnodendron adstringens,Fabaceae,tree,Y,Y
Stryphnodendron rotundifolium,Fabaceae,tree,Y,Y
Lacistema hasslerianum,Lacistemaceae,treelet,Y,N
Nectandra cuspidata,Lauraceae,tree,Y,Y
Nectandra oppositifolia,Lauraceae,tree,Y,Y
Ocotea corymbosa,Lauraceae,tree,Y,Y
Ocotea minarum,Lauraceae,tree,Y,Y
Ocotea pulchella,Lauraceae,tree,Y,Y
Ocotea velloziana,Lauraceae,tree,Y,Y
Persea sp.,Lauraceae,tree,Y,Y
Byrsonima basiloba,Malphigaceae,Tree,Y,N
Byrsonima coccolobifolia,Malphigaceae,tree,Y,N
Luehea candicans,Malvaceae,tree,Y,Y
Luehea grandiflora,Malvaceae,tree,Y,N
Miconia albicans,Melastomataceae,treelet,Y,N
Miconia ligustroides,Melastomataceae,treelet,Y,Y
Platymenia reticulata,Mimosaceae,tre,Y,Y
Cecropia pachystacia,Moraceae,tree,Y,Y
Calyptranthes lucida,Myrtaceae,tree,Y,Y
Campomanesia adamantium,Myrtaceae,shrub,Y,N
Campomanesia guazumifolia,Myrtaceae,tree,Y,N
Eugenia myrcianthes,Myrtaceae,tree,Y,Y
Eugenia punicifolia,Myrtaceae,treelet,Y,N
Myrcia fallax,Myrtaceae,tree,Y,Y
Myrcia lingua,Myrtaceae,tree,Y,Y
Myrcia multiflora,Myrtaceae,tree,Y,Y
Myrcia tomentosa,Myrtaceae,tree,Y,Y
Myrcia venulosa,Myrtaceae,tree,Y,Y
Ouratea spectabilis,Ochnaceae,tree,Y,Y
Pinus elliottii,Pinaceae,tree,Y,Y
Rapanea ferruginea,Primulaceae,tree,Y,Y
Rapanea guianensis,Primulaceae,tree,Y,Y
Rapanea lancifolia,Primulaceae,tree,Y,Y
Rapanea umbellata,Primulaceae,tree,Y,Y
Roupala montana,Proteaceae,tree,Y,Y
Prunus myrtifolia,Rosaceae,tree,Y,Y
Alibertia edulis,Rubiaceae,treelet,Y,N
Amaioua intermedia,Rubiaceae,tree,Y,Y
Faramea montevidensis,Rubiaceae,tree,Y,Y
Tocoyena formosa,Rubiaceae,shrub,Y,Y
Zanthoxylum rhoifolium,Rutaceae,tree,Y,Y
Casearia sylvestris,Salicaceae,tree,Y,Y
Cupania tenuivalvis,Sapindaceae,treelet,Y,Y
Cupania vernalis,Sapindaceae,tree,Y,Y
Matayba elaeagnoides,Sapindaceae,tree,Y,Y
Chrysophyllum marginatum,Sapotaceae,tree,Y,Y
Pouteria torta,Sapotaceae,tree,Y,Y
Siparuna guianensis,Siparunaceae,tree,Y,Y
Cestrum sendtnerianum,Solanaceae,shrub,Y,N
Solanum lycocarpum,Solanaceae,shrub,Y,N
Styrax camporum,Styracaceae,tree,Y,Y
Styrax cf. pohlii,Styracaceae,tree,Y,Y
Styrax ferrugineus,Styracaceae,tree,Y,Y
Symplocos pubescens,Symplocaceae,treelet,Y,N
Daphnopsis fasciculata,Thymelaeaceae,tree,Y,Y
Daphnopsis racemosa,Thymelaeaceae,tree,Y,Y
Aegiphila verticillata,Verbenaceae,tree,Y,Y
Lippia salviaefolia,Verbenaceae,shrub,Y,N
Lippia sidoides,Verbenaceae,shrub,Y,N
Qualea cordata,Vochysiaceae,tree,Y,Y
Qualea grandiflora,Vochysiaceae,tree,Y,Y
Qualea multiflora,Vochysiaceae,tree,Y,Y
Vochysia tucanorum,Vochysiaceae,tree,Y,Y
