Species,Code,Abund,Sampled,Where to find
Actinostemon concepcionis,ACCO,2,0,
Aegiphila sellowiana,AESE,4,0,
Aegiphila verticillata,AEVE,55,5,
Alibertia edulis,ALED,29,5,
Amaioua intermedia,AMIN,265,5,
Anadenanthera falcata,ANFA,47,5,
Annona cagans,ANCA,3,2,:(
Annona coriacea,ANCO,10,6,
Annona crassiflora,ANCR,23,7,
Aspidosperma tomentosum,ASTO,6,0,
Baccharis dracunculifolia,BADR,11,5,
Bauhinia longifolia,BALO,11,1,Plot 2
Blepharocalyx salicifolius,BLSA,2,0,
Bowdichia virgilioides,BOVI,6,5,
Brosimum gaudichaudii,BRGA,6,0,
Byrsonima coccolobifolia,BYCO,2,1,
Byrsonima intermedia,BYIN,2,0,
Calyptranthes lucida,CALU,3,1,:(
Campomanesia adamantium,CAAD,270,5,
Campomanesia cf. guavirova,CAGU,2,0,
Campomanesia guazumifolia,CAGU,4,0,
Cariniana estrellensis,CAES,1,0,
Caryocar brasiliense,CABR,9,5,
Casearia decandra,CADE,1,0,
Casearia lasiophylla,CALA,1,0,
Casearia sylvestris,CASY,79,6,
Cedrela fissilis,CEFI,1,0,
Celtis iguanae,CEIG,2,0,
Cestrum sendtnerianum,CESE,1,2,:(
Chomelia obtusa,CHOB,1,0,
Chomelia sp.,CHOME,1,0,
Chromolaena laevigata,CHLA,4,0,
Chrysophyllum marginatum,CHMA,3,3,Triangle; Plots 3 and 5
Citrus limonum,CILI,2,0,
Connarus suberosus,COSU,1,5,
Copaifera langsdorffii,COLA,59,6,
Cordia sellowiana,COSE,3,0,
Cordia trichotoma,COTR,1,0,
Coutarea hexandra,COHE,1,0,
Croton floribundus,CRFL,6,0,
Cupania tenuivalvis,CUTE,20,4,"Plot 2, 6"
Cupania vernalis,CUVE,29,5,
Cybistax antisyphilitica,CYAN,3,0,
Dalbergia miscolobium,DAMI,1,0,
Daphnopsis fasciculata,DAFA,1,0,
Daphnopsis racemosa,DARA,85,5,
Dendropanax cuneatum,DECU,1,0,
Dimorphandra mollis,DIMO,17,5,
Diospyros hispida,DIHI,6,5,
Eriotheca gracilipes,ERGR,13,5,
Erythroxylum campestris,ERCA,1,0,
Erythroxylum cunneifolium,ERCU,10,5,
Erythroxylum deciduum,ERDE,2,0,
Erythroxylum pelleterianum,ERPE,3,0,
Erythroxylum suberosum,ERSU,10,6,
Esenbeckia febrifuga,ESFE,2,0,
Eugenia aurata,EUAU,2,0,
Eugenia florida,EUFL,8,0,
Eugenia livida,EULI,1,0,
Eugenia lutescens,EULU,4,0,
Eugenia myrcianthes,EUMY,27,5,
Eugenia punicifolia,EUPU,11,3,"Plots 18, 20"
Eugenia sp5,EUGEN,1,0,
Euterpe edulis,EUED,1,0,
Faramea montevidensis,FAMO,3,0,
Ficus gomelleira,FIGO,1,0,
Ficus guaranitica,FIGU,5,0,
Gochnatia barrosii,GOBA,66,2,Everywhere
Gochnatia polymorpha,GOPO,677,6,
Gochnatia pulchra,GOPU,1,0,
Gomidesia sp. coletada,GOCO,1,0,
Guapira graciliflora,GUGR,4,0,
Guapira hirsuta,GUHI,2,0,
Guapira opposita,GUOP,1,0,
Guatteria nigrescens,GUNI,17,5,
Hancornia speciosa,HASP,1,0,
Helicteres brevispira,HEBR,1,0,
