"","Individual","Bonus","Code","D30","DBH","Ht","Lower.leaf","Bark1","Bark2","Bark3","Light","Date","max_d30","max_DBH","D30_eff","Leaflet.or.leaf.size..mm2.","Total.leaf.size..mm2.","Leaf.thickness.1..mm.","Leaf.thickness.2..mm.","Leaf.thickness.3..mm.","SLA..cm2.g.1.","Method","Outer.diameter","Twig.bark.thickness","Relative.bark.thickness","Density..g.mL.","Genus","Species","Family","Old.name","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66","Max.height","Mean.Leaf.thickness","Mean.Bark.thickness","Crown.ratio","Taper","Inner.diam","Stem.rel.bark.thick"
"1","ROMO1","","ROMO","13.6","8.5, 13",5.1,140,15.96,12.44,10.25,5,"6/23/2017",13.6,8.5,13.6,5196.559616,5196.559616,0.36,0.36,0.35,55.98857574,"Punch",8.89,1.28,0.143982002,0.64028777,"Roupala","montana","Proteaceae","Roupala montana","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S",5,0.356666666666667,12.8833333333333,0.725490196078431,37.5,11.0233333333333,0.189460784313725
"2","STCA6","","STCA","8, 6","3.2, 4.6, 2.5, 3.5",3.4,100,6.63,5.13,5.18,4,"6/23/2017",8,3.2,10,2306.979478,2306.979478,0.29,0.3,0.29,84.37622597,"Punch",9.15,0.835,0.091256831,0.615112994,"Styrax","camporum","Styracaceae","Styrax camporum","S","tree","Styrax camporum","STCA","Pohl","",NA,"G","G","S",10,0.293333333333333,5.64666666666667,0.705882352941177,42.5,6.87066666666667,0.141166666666667
"3","DIBU4","","DIBU","6.3","5.3",2.9,180,13.72,12.82,10.93,4,"6/23/2017",6.3,5.3,6.3,7743.083413,7743.083413,0.42,0.47,0.58,90.86670489,"Punch",10.08,2.24,0.222222222,0.430581614,"Diospyros","burchelli","Ebenaceae","Diospyros burchelli","S","tree","Diospyros lasiocalyx","DILA","(Mart.) B.Walln.","",NA,"S","S","S",6,0.49,12.49,0.379310344827586,46.031746031746,3.802,0.396507936507937
"4","ROMO2","","ROMO","8.5","7.6",3.1,190,9.69,11.99,11.78,3,"6/23/2017",8.5,7.6,8.5,12126.8618,12126.8618,0.34,0.35,0.37,61.70169571,"Punch",6.98,1.1,0.157593123,0.71875,"Roupala","montana","Proteaceae","Roupala montana","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S",5,0.353333333333333,11.1533333333333,0.387096774193548,36.4705882352941,6.26933333333333,0.26243137254902
"5","ROMO3","","ROMO","7.2","7.3",4.3,130,6.42,6.89,5.49,5,"6/23/2017",7.2,7.3,7.2,2462.898685,2462.898685,0.36,0.35,0.35,46.57873108,"Punch",8.89,1.17,0.131608549,0.600368324,"Roupala","montana","Proteaceae","Roupala montana","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S",5,0.353333333333333,6.26666666666667,0.697674418604651,59.7222222222222,5.94666666666667,0.174074074074074
"6","ROMO4","","ROMO","8","4.3, 4.8",2.7,140,9.07,7.27,8.69,4,"6/23/2017",8,4.3,8,8240.662052,8240.662052,0.38,0.38,0.39,52.78436657,"Punch",8.81,1.19,0.13507378,0.677745665,"Roupala","montana","Proteaceae","Roupala montana","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S",5,0.383333333333333,8.34333333333333,0.481481481481481,33.75,6.33133333333333,0.208583333333333
"7","ALED1","","ALED","1.9, 1.8",".8, .9",1.5,10,2.8,1.66,2.04,4,"6/23/2017",1.9,0.8,2.61725046566048,7027.631397,7027.631397,0.33,0.34,0.33,60.91064833,"Punch",8.19,0.55,0.067155067,0.888888889,"Alibertia","edulis","Rubiaceae","Alibertia edulis","F","treelet","Alibertia edulis","ALED","(Rich.) A.Rich. ex DC.","",NA,"F","F","F",7,0.333333333333333,2.16666666666667,0.933333333333333,78.9473684210526,1.46666666666667,0.228070175438596
"8","COLA2","","COLA","2.1",".9, .86, 1",2.1,20,1.49,1.54,1.97,3,"6/23/2017",2.1,0.9,2.1,889.6123315,7116.898652,0.2,0.22,0.2,86.77681406,"Punch",7.91,0.765,0.096713021,0.53256705,"Copaifera","langsdorffii","Fabaceae","Copaifera langsdorffii","G","tree","Copaifera langsdorffii","COLA","Desf.","",NA,"G","G","G",15,0.206666666666667,1.66666666666667,0.904761904761905,100,1.76666666666667,0.158730158730159
"9","ALED2","","ALED","8.6","6.8",4.3,130,3.7,3.85,4.38,4,"6/23/2017",8.6,6.8,8.6,14060.13509,14060.13509,0.36,0.4,0.35,53.54935739,"Punch",9.05,0.77,0.085082873,0.923963134,"Alibertia","edulis","Rubiaceae","Alibertia edulis","F","treelet","Alibertia edulis","ALED","(Rich.) A.Rich. ex DC.","",NA,"F","F","F",7,0.37,3.97666666666667,0.697674418604651,50,7.80466666666667,0.0924806201550388
"10","PIRO1","","PIRO","9.6","7.5, 3.4",3.7,120,13.97,15.9,16.2,5,"6/23/2017",9.6,7.5,9.6,5127.449919,5127.449919,0.51,0.54,0.55,55.12799185,"Punch",6.69,0.59,0.08819133,0.426433915,"Piptocarpha","rotundifolia","Asteraceae","Piptocarpha rotundifolia","S","treelet","Piptocarpha rotundifolia","PIRO","(Less.) Baker","",NA,"S","S","S",8,0.533333333333333,15.3566666666667,0.675675675675676,38.5416666666667,6.52866666666667,0.319930555555556
"11","PLPO5","","PLPO","4.9","3.7",2.3,60,11.22,11.41,12.59,4,"6/23/2017",4.9,3.7,4.9,2605.227283,2605.227283,0.2,0.32,0.24,95.78690665,"Punch",9.09,2.15,0.236523652,0.625174825,"Plenckia","populnea","Celastraceae","Plenckia populnea","S","tree","Plenckia populnea","PLPO","Reissek","",NA,"S","S","S",10,0.253333333333333,11.74,0.739130434782609,46.9387755102041,2.552,0.479183673469388
