"","Code","N","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"1","AEVE",12,6025.82888916667,6025.82888916667,0.341111111111111,4.5,3.34356199761103,0.449586166427284,3.98317808456863,96.2705694990909,9.14198180252964,1.27434068882734,0.425399702,"S","tree"
"2","ALED",5,7753.0858518,7753.0858518,0.291333333333333,7,5.25608173578914,0.729709112635797,2.35450203174227,72.384487024,3.13165243763796,0.585363019916291,0.7972590284,"F","treelet"
"3","AMIN",13,5158.53812533333,5158.53812533333,0.235555555555556,9,7.08591993060454,0.64426230538162,2.98318822608207,109.414572590909,3.07213629440949,0.685472460249536,0.719115994,"G","tree"
"4","ANCA",2,8288.9162855,8288.9162855,0.181666666666667,20,9.47473229713194,NA,3.26231361007889,151.54454835,0,NA,0.266446861,"F","tree"
"5","ANCO",6,4662.72084433333,4662.72084433333,0.465555555555556,9,5.00941201525846,0.577667660015294,3.7053544948685,72.9540577516667,7.79726313399626,1.89486158625069,0.3997264335,"S","tree"
"6","ANCR",12,4857.82356171429,4857.82356171429,0.345714285714286,12,4.4420580877451,0.673498776929597,3.58109175113929,67.964026575,15.561674188353,1.63154219554784,0.372258546571429,"S","tree"
"7","ANDI",5,10233.4578214,10233.4578214,0.473333333333333,2,1.76065296093025,0.634975879040408,3.92757348325511,114.497480302,2.52695738477344,1.15564961785479,0.3241228446,"S","shrub"
"8","ANFA",17,7.3282361042,11422.4173282,0.176666666666667,16,5.84421909747337,0.530807844132035,2.87149019561352,61.873498047,18.6336275501749,1.23107616830669,0.6388030136,"G","tree"
"9","BADR",6,88.4078313066667,88.4078313066667,0.186111111111111,3.5,NA,0.502902285820376,NA,91.47928508,2.24821768371279,0.57651719527085,0.547898852166667,"G","treelet"
"10","BALO",6,5804.3213876,5804.3213876,0.382,11,7.24422804568854,0.387345315649892,3.14955053623399,114.20866211,3.66450626919293,0.957288341270916,0.7607245802,"F","tree"
"11","BARU",5,5797.3977878,5797.3977878,0.436,3.95,NA,0.491847570595072,NA,86.329107008,2.36742710331219,0.904098582345393,0.6177401052,"S","shrub"
"12","BOVI",5,797.77223698,11437.6987584,0.247333333333333,16,6.31039916321348,0.548502514199376,3.59989076702543,86.55506444,10.4738411145861,1.88461462337829,0.567884798,"S","tree"
