,Code,N,Leaf_size,Total_leaf_size,Leaf_thickness,Max_height,Height_at_5cm,Crown_ratio,Light_at_5cm,SLA,Bark_at_5cm,Bark_at_8mm,Wood_density,FG,Habit
1,ROMO,5,7137.940678,7137.940678,0.358,5,3.3501401,0.589257665,2.770115358,54.87762242,7.447443042,1.271711926,0.668108318,S,tree
2,STCA,12,2725.750135,2725.750135,0.283333333,10,5.089691979,0.61818134,3.119302954,78.48817365,3.278257096,0.64464726,0.564925532,S,tree
3,DIBU,5,10548.78542,10548.78542,0.48,6,2.734038262,0.457603903,3.588321781,65.28327452,12.14103969,1.599422299,0.418768208,S,tree
4,ALED,6,8439.553025,8439.553025,0.276944444,7,5.195423704,0.685402505,2.396658562,76.11009334,3.145938847,0.589049272,0.823802814,F,treelet
5,COLA,15,1098.272949,7227.634322,0.165,15,7.88304229,0.593478214,3.296195498,95.21542781,8.762544909,0.704123128,0.516624203,G,tree
6,PIRO,5,8080.544561,8080.544561,0.494333333,8,2.44236095,0.61220333,4.387414313,58.0696591,12.98253766,1.242300141,0.577363078,S,treelet
7,PLPO,11,2983.345354,2983.345354,0.256666667,10,4.492709019,0.665278322,3.383350558,77.74051627,9.184478561,1.36795103,0.627745704,S,tree
8,BYCO,5,2790.477232,2790.477232,0.323333333,6,4.067987737,0.538199363,2.551144956,81.76113872,9.274854577,1.269954674,0.689597977,S,tree
9,DARA,7,930.0907319,930.0907319,0.309333333,12,7.572348784,0.430072349,2.888625084,102.4249424,5.892204182,1.094925442,0.426234836,G,tree
10,BARU,5,5797.397788,5797.397788,0.436,3.95,NA,0.491847571,NA,86.32910701,NA,0.944977568,0.617740105,S,shrub
11,MYLI,5,2814.909147,2814.909147,0.356666667,5.35,3.199279339,0.743899656,3.054025006,69.88689346,9.385387306,1.603718742,0.520123956,S,tree
12,TEGL,10,3129.346285,3129.346285,0.272,16,7.315744895,0.586533051,3.09948532,77.17252765,6.611395949,0.913329899,0.703690587,G,tree
13,LAHA,7,2026.463575,2026.463575,0.24,8,5.752785818,0.842983679,2.314321646,125.0333304,2.146910917,0.654625864,0.546710909,G,treelet
14,COSU,5,1506.657728,10213.42792,0.366,7,2.30230336,0.604832193,3.449407318,62.27366993,12.99573709,1.633726325,0.449421216,S,treelet
15,STAD,5,352.7775444,43173.58333,0.220666667,5,2.77431769,0.661194747,4.055538508,91.59899696,8.489252037,1.888065584,0.465528635,S,tree
16,ANCO,6,4662.720844,4662.720844,0.465555556,9,5.009412015,0.57766766,3.705354495,72.95405775,7.797263134,1.842696461,0.399726434,S,tree
17,CASY,15,981.4098138,981.4098138,0.170555556,10,6.23448402,0.505332148,2.595203431,98.72325622,4.07229832,1.011580879,0.660921143,F,tree
18,MAEL,12,1365.128651,12615.08707,0.263333333,14,6.725200246,0.653966552,3.018505236,79.14177558,3.390978509,1.004499227,0.631005474,G,tree
19,ZARH,5,452.4013285,8017.255807,0.22,12,7.869006759,0.511739449,3.592455509,98.15467363,2.853777178,0.920482434,0.555450978,G,tree
20,MILI,10,1308.958418,1308.958418,0.251333333,8,5.081785714,0.715952156,3.129121189,92.67037205,5.142694049,1.028582253,0.641934232,S,treelet
21,ERGR,10,2802.598454,13171.92534,0.376666667,17,3.206076832,0.607908284,3.365070688,73.0632332,13.75952323,1.995452069,0.387737597,S,tree
22,MABR,10,964.3654437,7350.9845,0.173333333,15,8.30940616,0.603987692,3.663612198,111.9679631,3.51094278,0.860690411,0.544646163,G,tree
23,MYTO,12,1699.696284,1699.696284,0.276666667,12,4.914843873,0.631797645,2.709054107,76.30671397,4.530915862,0.836897547,0.781241056,S,tree
24,QUCO,5,3734.930901,3734.930901,0.235333333,11,4.540132527,0.481390352,3.396395285,106.9197852,8.678867241,0.89141057,0.624664007,S,tree
25,SCVI,10,2099.413556,14695.89489,0.355333333,5,3.849737598,0.659134494,3.138853228,71.44868662,2.226447508,1.069703381,0.438604294,S,treelet
26,ZEMO,5,4088.200717,21609.4442,0.423333333,2.8,NA,0.722345637,NA,90.58261987,NA,1.538099331,0.49699631,S,shrub
27,SYPU,10,2840.94775,2840.94775,0.308666667,8,5.34225357,0.534995636,3.452870162,88.71922331,5.012874028,0.898241837,0.51516431,S,treelet
28,GOPO,27,3354.920185,3354.920185,0.410666667,13,4.939504276,0.715252996,3.378952814,65.88948632,16.42422266,1.030202827,0.618323529,G,tree
29,CAAD,11,1331.676319,1331.676319,0.332666667,3.5,2.172890458,0.616329588,3.419339936,68.71685185,2.157777852,0.848617501,0.719158424,S,shrub
30,STRO,18,89.7893909,21844.93097,0.178333333,5.5,3.344598343,0.552148566,3.739958143,84.50295849,7.970685756,1.236781034,0.432781415,S,tree
31,RAGU,5,2688.70617,2688.70617,0.366666667,8,3.166571921,0.538516072,3.582792781,76.79739288,9.587827357,1.478566464,0.49924479,S,tree
32,CHMA,5,1148.096936,1148.096936,0.232666667,10,4.260116823,0.840596206,3.040975025,107.1775708,2.680411265,0.586403101,0.707296392,G,tree
33,LIMO,6,1304.322731,6521.613654,0.231333333,12,6.456051799,0.593086231,2.604353419,105.9617604,3.460131244,0.752909088,0.568238565,F,tree
34,BOVI,5,797.772237,11437.69876,0.247333333,16,6.310399163,0.548502514,3.599890767,86.55506444,10.47384111,1.875816627,0.567884798,S,tree
35,RAFE,7,1932.304098,1932.304098,0.263888889,12,6.203214823,0.529249146,3.218021311,112.1696776,2.180881864,1.016116427,0.622897865,G,tree
36,OCPU,10,855.3611333,855.3611333,0.286,30,4.546919644,0.65031796,3.858577524,64.68036031,2.121646525,0.695754891,0.649871574,G,tree
37,MYMU,6,510.4964126,510.4964126,0.222,7,5.403727223,0.582774004,2.974953842,95.16564409,1.067950333,0.58501897,0.686089236,G,tree
38,TAGU,17,1640.127007,12495.30058,0.234545455,14,7.235966031,0.688174731,3.615105938,82.84070096,2.986526239,0.614927367,0.582067755,G,tree
39,LEEL,15,852.5725348,7865.296168,0.29,11,4.904626717,0.625212741,2.920452747,77.11703047,15.69370664,2.385715782,0.700416501,S,tree
40,MYFA,18,227.2082077,227.2082077,0.250666667,10,4.646688957,0.657630971,2.996375519,81.95455512,6.899760891,1.152536955,0.566545576,G,tree
41,CABR,5,6705.365745,20116.09724,0.454666667,3.75,2.320194769,0.632188008,3.711482208,75.11612722,12.59761092,0.892516258,0.590361505,S,tree
42,STFE,6,2908.801567,2908.801567,0.480555556,14,4.327010469,0.721150169,3.390991648,63.8443451,13.93254538,0.773533633,0.468739768,S,tree
43,RAUM,17,2434.064676,2434.064676,0.386,15,6.273229225,0.597182099,3.355244542,63.30034391,3.667323328,0.903794963,0.684933409,G,tree
44,TOFO,5,8656.429144,8656.429144,0.688666667,2.6,NA,0.304320439,NA,85.00279927,NA,1.238477966,0.655935099,S,shrub
45,ANCR,12,4857.823562,4857.823562,0.345714286,12,4.442058088,0.673498777,3.581091751,67.96402658,15.56167419,1.787445608,0.372258547,S,tree
46,DUFU,5,3172.680555,3172.680555,0.332,2.53,NA,0.847580837,NA,52.5903156,NA,1.359884629,0.606257732,S,shrub
47,QUGR,5,6318.258352,6318.258352,0.380666667,12,5.188852612,0.599761255,2.921710208,62.65742072,11.12829405,1.032128434,0.557455236,S,tree
48,DIMO,11,53.1858288,38599.04028,0.181333333,14,3.501964456,0.635571119,4.169440721,84.14657709,11.0772442,1.210692872,0.475035789,S,tree
49,ERSU,5,2782.486478,2782.486478,0.278,4,2.54479702,0.722806902,3.928513177,83.01846855,14.42165507,2.3277438,0.60065428,S,treelet
50,KICO,5,5864.034767,5864.034767,0.392666667,3.5,2.150300207,0.525075825,3.122559664,76.69429054,16.82053091,1.885817576,0.43617147,S,tree
51,MAAC,18,1229.367629,17115.07324,0.211333333,14,5.127154648,0.532362607,3.30036927,86.89137363,15.36623782,1.111245296,0.638275682,S,tree
52,VOTU,24,2145.556065,2145.556065,0.324,15,6.646932775,0.758262338,3.351142462,88.87992553,9.447775923,0.871469635,0.488284665,G,tree
53,GOBA,10,6356.476328,6356.476328,0.452666667,6.5,3.311908819,0.602125064,3.876000899,103.7257717,3.353104977,0.765845829,0.745936667,S,shrub
54,MIAL,9,5345.859051,10863.84224,0.3775,4.83,2.965142503,0.824611689,3.09259474,57.48619048,7.084320248,1.0047184,0.692409552,S,treelet
55,AEVE,12,6025.828889,6025.828889,0.341111111,4.5,3.343561998,0.449586166,3.983178085,96.2705695,9.141981803,1.131076581,0.425399702,S,tree
56,CESE,2,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,F,shrub
57,PEOB,21,1875.147253,1875.147253,0.256,14,7.831758286,0.682289503,3.316641983,104.651651,4.01898155,0.758229352,0.542815699,G,tree
58,ANDI,5,10233.45782,10233.45782,0.473333333,2,1.760652961,0.634975879,3.927573483,114.4974803,NA,1.187333838,0.324122845,S,shrub
59,SOLY,5,10136.90955,10136.90955,0.471666667,1.2,NA,0.798383838,NA,123.3463599,NA,0.843148453,0.514564571,S,shrub
60,TAOC,5,2749.769896,13366.70479,0.432666667,14,3.100549583,0.399668058,3.390887046,61.34741924,12.5582692,1.54921772,0.622799493,S,tree
61,OUSP,11,5549.44299,5549.44299,0.438666667,7,3.588907892,0.597480896,3.736811263,59.33902567,11.49128475,1.795495944,0.590901635,S,tree
62,TACA,10,1424.291058,1424.291058,0.221333333,9,4.922097148,0.773576617,2.653300878,107.0175473,5.412490923,1.144527594,0.613289801,F,tree
63,OCCO,24,1410.848899,1410.848899,0.256666667,20,6.905499224,0.748114717,3.694354881,70.35379128,5.66586722,0.850578967,0.614587759,G,tree
64,ERCU,5,83.38567329,83.38567329,0.201333333,4,NA,0.600868575,NA,104.5015746,NA,1.155563982,0.77737005,S,shrub
65,BADR,6,88.40783131,88.40783131,0.186111111,3.5,NA,0.502902286,NA,159.0164912,NA,0.646053979,0.547898852,G,treelet
66,PEWI,1,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,F,tree
67,PRMY,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,G,tree
68,AMIN,13,5158.538125,5158.538125,0.235555556,9,7.085919931,0.644262305,2.983188226,109.4145726,3.092087037,0.792018447,0.719115994,G,tree
69,QUMU,5,5188.205916,5188.205916,0.297333333,9,5.799164136,0.434912181,2.320067328,104.86256,7.396828947,0.92824541,0.581794368,S,tree
70,POTO,6,7829.059106,7829.059106,0.285555556,18,6.703261478,0.505689267,2.401797153,95.12135381,14.64250439,1.619624365,0.534070578,S,tree
71,STPO,4,4406.749613,4406.749613,0.2925,12,NA,0.630952381,NA,99.7007267,NA,0.936932507,0.532833551,F,tree
72,PRHE,10,3687.887357,22844.99295,0.194,20,6.793898971,0.603060359,3.531219577,106.5685161,2.894865922,0.977171262,0.526108816,G,tree
73,SIGU,11,9145.814928,9145.814928,0.247777778,10,7.460320624,0.55703991,2.8667314,125.2941162,2.394213683,0.619416176,0.589690088,G,tree
74,JACA,5,106.1080729,14859.0992,0.154666667,10,4.698474454,0.547477553,3.903702003,126.6688465,2.337061271,0.621290731,0.482439674,S,shrub
75,BYBA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,S,tree
76,RALA,4,1212.184576,1212.184576,0.233333333,6,4.773866002,0.631578947,3.272651138,87.09000582,NA,0.878574032,0.688655435,F,tree
77,CALU,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,F,tree
78,CUVE,6,4959.750148,59590.84174,0.210666667,22,6.727277,0.397551526,2.839459008,119.3089889,4.190679768,0.47359999,0.665130627,F,tree
79,PLEL,9,618.5278359,6928.482747,0.208,14,6.918671457,0.341489182,2.920520452,118.8808702,12.95108155,0.858200467,0.697052962,F,tree
80,LUGR,5,14117.59854,14117.59854,0.303333333,14,6.248810558,0.497734434,3.291848108,194.6147042,8.056355099,1.222605688,0.3739188,G,tree
81,DAEL,5,1511.236427,1511.236427,0.321333333,2,1.59574474,0.861546346,3.649733232,77.58489149,6.275591151,0.872492504,0.635812386,S,shrub
82,CAGU,7,2998.876153,2998.876153,0.297619048,10,5.692135302,0.492506377,2.640608615,129.4029964,1.859816428,0.803159728,0.71230234,F,tree
83,OCVE,8,6015.256031,6015.256031,0.255555556,12,6.473748135,0.342168085,2.766842224,116.2315553,7.232576383,0.977492224,0.488697249,F,tree
84,OCMI,7,2820.873337,2820.873337,0.217222222,15,7.338220966,0.58321004,2.890593091,121.7495951,9.519246617,0.979153181,0.600404942,G,tree
85,EUMY,6,3897.370369,3897.370369,0.29,10,6.820884823,0.394003028,2.418881106,112.7675665,4.134011186,0.578335805,0.71334279,G,tree
86,ANCA,6,9025.412354,9025.412354,0.192777778,20,9.669701508,0.415132496,3.231271678,126.2468976,5.167495345,1.277127387,0.327291105,F,tree
87,MYVE,5,1418.055328,1418.055328,0.353333333,9,7.235050547,0.557750355,2.977792924,69.1256456,3.889655424,0.873735565,0.789898012,S,tree
88,EUPU,2,NA,NA,NA,7,6.718537898,NA,2.602752455,NA,NA,NA,NA,S,treelet
89,GUNI,5,2459.953583,2459.953583,0.214,12,6.885886463,0.341829797,2.992647377,130.6850564,3.811062545,1.188697021,0.400142355,F,tree
90,PLRE,5,195.7980185,14340.72055,0.156666667,12,6.277775059,0.37870501,2.369797388,153.1347917,9.973884702,0.881989158,0.520494449,S,tree
91,CUTE,6,1401.447754,15759.13348,0.757333333,6,5.097228816,0.598583559,3.084280398,138.1372299,2.352600461,0.616611675,0.737382204,G,treelet
92,NECU,5,2794.073209,2794.073209,0.2,30,8.728739504,0.422745287,3.56435901,111.5036598,2.949343097,0.738619118,0.555577153,F,tree
93,NEOP,1,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,F,tree
94,ANFA,17,7.328236104,11422.41733,0.176666667,16,5.844219097,0.530807844,2.871490196,99.11987223,18.63362755,1.218652667,0.638803014,G,tree
95,LUCA,5,5463.981706,5463.981706,0.253333333,12,7.153494922,0.470785556,2.82207973,159.3456849,4.901314705,0.961438171,0.540709438,G,tree
96,LISA,5,571.4362101,571.4362101,0.386,4,NA,0.533045572,NA,123.5837834,NA,0.481231883,0.685397948,S,shrub
97,BALO,6,5804.321388,5804.321388,0.382,11,7.244228046,0.387345316,3.149550536,114.2086621,3.664506269,1.026293723,0.76072458,F,tree
98,PIAX,12,14217.56859,14217.56859,0.402,20,6.332594757,0.552921482,4.004622122,114.1289261,8.987068409,0.954423125,0.571842574,F,tree
99,CEPA,5,168492.6667,168492.6667,0.303333333,11.5,3.699578744,0.290565576,4.298255377,101.4038998,2.358580556,0.586694288,0.388143533,G,tree
100,TAAU,5,14330.01667,71650.08334,0.49625,30,NA,0.481492199,NA,55.85712727,15.157774,2.164826411,0.536399952,S,tree
101,ERTO,5,5577.780889,5577.780889,0.416666667,4,2.538219952,0.442969917,3.5203973,76.214615,13.94751594,2.278435485,0.630910145,S,treelet
102,ASTO,5,7546.951111,7546.951111,0.368,20,3.534473798,0.48669022,3.283467515,69.42810058,10.17304493,1.823459309,0.608864309,S,tree
103,ZETU,5,41382.45333,206912.2666,0.269,23,4.744851904,0.315790938,1.870265378,205.4648771,9.09281612,1.631539277,0.586623411,G,tree
104,ERDE,5,2633.046978,2633.046978,0.261333333,8,3.518095287,0.482908254,3.175626641,78.63595219,4.878796587,1.0394064,0.761456245,G,tree
105,HEAP,1,NA,NA,NA,18,8.661235425,NA,2.72235895,NA,NA,NA,NA,F,tree
106,AESE,5,25938.13187,25938.13187,0.283666667,9.4,5.275007478,0.528112403,3.232553689,114.7448533,5.851476865,0.679948562,0.416768592,F,tree
107,MAGU,5,1570.905333,1570.905333,0.1325,14,5.046203284,0.691088921,3.190443363,167.1741775,1.457378021,0.550464013,0.590192136,G,tree
108,CRFL,5,15036.69649,15036.69649,0.282333333,13,6.474679272,0.616056523,3.439224038,102.5427761,4.036367063,0.613445066,0.529605894,F,tree
109,MISE,5,3635.104756,3635.104756,0.179333333,15,4.73847498,0.649791834,2.748936846,120.8194446,2.73126804,0.527964166,0.607760748,G,tree
110,DAFA,5,2447.0236,2447.0236,0.222666667,8,NA,0.456310357,2.346012361,113.2249535,NA,1.001810426,0.591212531,G,tree
111,GUVI,3,22152.00533,22152.00533,0.2,7,NA,0.552683914,NA,130.4967849,4.747867931,0.821422256,0.65875877,F,tree
112,FAMO,3,11604.18518,11604.18518,0.203333333,12,NA,NA,NA,116.9239042,NA,0.784492536,0.687995786,G,tree
113,PORA,3,11208.7037,11208.7037,0.187777778,30,NA,NA,NA,94.0553568,NA,1.048307579,0.689815386,G,tree
114,BYLA,3,5741.826667,5741.826667,0.29,20,NA,NA,NA,75.54391964,NA,0.988575539,0.57448324,G,tree
115,SYRE,3,3341.585926,3341.585926,0.311111111,18,NA,NA,NA,110.5410585,NA,0.921579045,0.491789207,G,tree
116,XYAR,3,4327.290741,4327.290741,0.265555556,6,NA,NA,NA,99.00391546,NA,1.058284795,0.396054489,G,tree
