"","P","Sub","Number","Species","Ht","DBH","D30","Max_DBH","Max_D30","CSA_BH","CSA_30","Code"
"1",1,1,"1","Campomanesia adamantium",1.96,"1.9","2.9",1.9,2.9,2.835284975,6.605192975,"CAAD"
"2",1,1,"2","Campomanesia adamantium",1.5,"1","4.1",1,4.1,0.7853975,13.202531975,"CAAD"
"3",1,1,"3","Gochnatia polymorpha",3,"1.5","1.6",1.5,1.6,1.767144375,2.0106176,"GOPO"
"4",1,1,"4","Gochnatia polymorpha",3.5,"4.8","4",4.8,4,18.0955584,12.56636,"GOPO"
"5",1,1,"5","Campomanesia adamantium",1.95,"1.2","2.5",1.2,2.5,1.1309724,4.908734375,"CAAD"
"6",1,1,"6","Campomanesia adamantium",2.25,"1.5+1.3","3",1.5,3,3.09446615,7.0685775,"CAAD"
"7",1,1,"7","Campomanesia adamantium",1.8,"1.7","3.2",1.7,3.2,2.269798775,8.0424704,"CAAD"
"8",1,1,"8","Gochnatia polymorpha",2.8,"2","3.6",2,3.6,3.14159,10.1787516,"GOPO"
"9",1,1,"9","Vochysia tucanorum",3.6,"3","4.4",3,4.4,7.0685775,15.2052956,"VOTU"
"10",1,1,"10","Vochysia tucanorum",3.1,"2.5","3.5",2.5,3.5,4.908734375,9.621119375,"VOTU"
"11",1,1,"11","Vochysia tucanorum",3.25,"3.1","5.1",3.1,5.1,7.547669975,20.428188975,"VOTU"
"12",1,1,"12","Gochnatia polymorpha",5,"12.6+7.1","14.8",12.6,14.8,164.281595075,172.0334684,"GOPO"
"13",1,1,"13","Gochnatia polymorpha",4.22,"4.5","4.7",4.5,4.7,15.904299375,17.349430775,"GOPO"
"14",1,1,"14","Campomanesia adamantium",1.8,"1","2.5",1,2.5,0.7853975,4.908734375,"CAAD"
"15",1,1,"15","Myrcia fallax",2.3,"1","3.3",1,3.3,0.7853975,8.552978775,"MYFA"
"16",1,1,"16","Vochysia tucanorum",2.16,"1.3","2.1",1.3,2.1,1.327321775,3.463602975,"VOTU"
"17",1,1,"17","Leptolobium elegans",3.2,"6","9.3",6,9.3,28.27431,67.929029775,"LEEL"
"18",1,1,"18","Gochnatia polymorpha",4.1,"5.5","8.2",5.5,8.2,23.758274375,52.8101279,"GOPO"
"19",1,1,"19","Lacistema hasslerianum",2.41,"1+1.2","1.8",1.2,1.8,1.9163699,2.5446879,"LAHA"
"20",1,1,"21","Ocotea corymbosa",6,"6.6","7.3",6.6,7.3,34.2119151,41.853832775,"OCCO"
"21",1,1,"22","Gochnatia polymorpha",1.8,"1.2","1.5",1.2,1.5,1.1309724,1.767144375,"GOPO"
"22",1,1,"23","Rapanea umbellata",1.7,"1","",1,NA,0.7853975,0,"RAUM"
"23",1,1,"24","Dimorphandra mollis",5,"8.6","9.4",8.6,9.4,58.0879991,69.3977231,"DIMO"
"24",1,1,"25","Vochysia tucanorum",6.6,"12.5","15.5",12.5,15.5,122.718359375,188.691749375,"VOTU"
"25",1,2,"26","Gochnatia polymorpha",3,"1.8+1.5+1.7+1.4","4.4",1.8,4.4,8.12101015,15.2052956,"GOPO"
"26",1,2,"27","Gochnatia barrosii",3.5,"2.7+2.8","6.7",2.8,6.7,11.883064175,35.256493775,"GOBA"
"27",1,2,"28","Gochnatia polymorpha",3.5,"2.7+2.5+1.5+1.5","5+3.5",2.7,5,14.1685709,29.256056875,"GOPO"
"28",1,2,"29","Myrcia fallax",2.5,"2.4","4.9",2.4,4.9,4.5238896,18.857393975,"MYFA"
"29",1,2,"30","Vochysia tucanorum",4.5,"10.1","12.4",10.1,12.4,80.118398975,120.7627196,"VOTU"
"30",1,2,"31","Leptolobium elegans",4,"7.4","9.5",7.4,9.5,43.0083671,70.882124375,"LEEL"
"31",1,2,"32","Gochnatia polymorpha",5.5,"12.1","13.2",12.1,13.2,114.990047975,136.8476604,"GOPO"
"32",1,2,"33","Gochnatia polymorpha",3.6,"6.5+6.5+6","10.5+8.2",6.5,10.5,94.64039875,139.400202275,"GOPO"
"33",1,2,"34","Gochnatia polymorpha",4.9,"5.4","8.5",5.4,8.5,22.9021911,56.744969375,"GOPO"
"34",1,2,"35","Annona crassiflora",6,"10.6","15.3",10.6,15.3,88.2472631,183.853700775,"ANCR"
"35",1,2,"36","Vochysia tucanorum",7,"11.5","17.8",11.5,17.8,103.868819375,248.8453439,"VOTU"
"36",1,2,"37","Diospyros hispida",6,"14.2","15.7",14.2,15.7,158.3675519,193.592629775,"DIHI"
"37",1,2,"38","Aegiphila verticillata",4,"9.1","10.5",9.1,10.5,65.038766975,86.590074375,"AEVE"
"38",1,2,"39","Gochnatia polymorpha",4.5,"9+7.1","10.3+7.8",9,10.3,103.209085475,131.106404675,"GOPO"
