"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","FG","Life.Form"
"1",1,1,"1","Campomanesia adamantium",1.96,"1.9","2.9","CAAD",1.9,2.9,2.835284975,6.605192975,4,26.4207719,11.3411399,0.949999598784579,1.44999938761857,"S","shrub"
"2",1,1,"2","Campomanesia adamantium",1.5,"1","4.1","CAAD",1,4.1,0.7853975,13.202531975,4,52.8101279,3.14159,0.499999788833989,2.04999913421936,"S","shrub"
"3",1,1,"3","Gochnatia polymorpha",3,"1.5","1.6","GOPO",1.5,1.6,1.767144375,2.0106176,4,8.0424704,7.0685775,0.749999683250984,0.799999662134383,"G","tree"
"4",1,1,"4","Gochnatia polymorpha",3.5,"4.8","4","GOPO",4.8,4,18.0955584,12.56636,4,50.26544,72.3822336,2.39999898640315,1.99999915533596,"G","tree"
"5",1,1,"5","Campomanesia adamantium",1.95,"1.2","2.5","CAAD",1.2,2.5,1.1309724,4.908734375,4,19.6349375,4.5238896,0.599999746600787,1.24999947208497,"S","shrub"
"6",1,1,"6","Campomanesia adamantium",2.25,"1.5+1.3","3","CAAD",1.5,3,3.09446615,7.0685775,4,28.27431,12.3778646,0.992471242911397,1.49999936650197,"S","shrub"
"7",1,1,"7","Campomanesia adamantium",1.8,"1.7","3.2","CAAD",1.7,3.2,2.269798775,8.0424704,4,32.1698816,9.0791951,0.849999641017781,1.59999932426877,"S","shrub"
"8",1,1,"8","Gochnatia polymorpha",2.8,"2","3.6","GOPO",2,3.6,3.14159,10.1787516,4,40.7150064,12.56636,0.999999577667978,1.79999923980236,"G","tree"
"9",1,1,"9","Vochysia tucanorum",3.6,"3","4.4","VOTU",3,4.4,7.0685775,15.2052956,4,60.8211824,28.27431,1.49999936650197,2.19999907086955,"G","tree"
"10",1,1,"10","Vochysia tucanorum",3.1,"2.5","3.5","VOTU",2.5,3.5,4.908734375,9.621119375,4,38.4844775,19.6349375,1.24999947208497,1.74999926091896,"G","tree"
"11",1,1,"11","Vochysia tucanorum",3.25,"3.1","5.1","VOTU",3.1,5.1,7.547669975,20.428188975,1,20.428188975,7.547669975,1.54999934538537,2.54999892305334,"G","tree"
"12",1,1,"12","Gochnatia polymorpha",5,"12.6+7.1","14.8","GOPO",12.6,14.8,164.281595075,172.0334684,1,172.0334684,164.281595075,7.23135228227853,7.39999687474304,"G","tree"
"13",1,1,"13","Gochnatia polymorpha",4.22,"4.5","4.7","GOPO",4.5,4.7,15.904299375,17.349430775,4,69.3977231,63.6171975,2.24999904975295,2.34999900751975,"G","tree"
"14",1,1,"14","Campomanesia adamantium",1.8,"1","2.5","CAAD",1,2.5,0.7853975,4.908734375,4,19.6349375,3.14159,0.499999788833989,1.24999947208497,"S","shrub"
"15",1,1,"15","Myrcia fallax",2.3,"1","3.3","MYFA",1,3.3,0.7853975,8.552978775,4,34.2119151,3.14159,0.499999788833989,1.64999930315216,"G","tree"
"16",1,1,"16","Vochysia tucanorum",2.16,"1.3","2.1","VOTU",1.3,2.1,1.327321775,3.463602975,4,13.8544119,5.3092871,0.649999725484186,1.04999955655138,"G","tree"
"17",1,1,"17","Leptolobium elegans",3.2,"6","9.3","LEEL",6,9.3,28.27431,67.929029775,1,67.929029775,28.27431,2.99999873300394,4.6499980361561,"S","tree"
"18",1,1,"18","Gochnatia polymorpha",4.1,"5.5","8.2","GOPO",5.5,8.2,23.758274375,52.8101279,1,52.8101279,23.758274375,2.74999883858694,4.09999826843871,"G","tree"
"19",1,1,"19","Lacistema hasslerianum",2.41,"1+1.2","1.8","LAHA",1.2,1.8,1.9163699,2.5446879,4,10.1787516,7.6654796,0.781024637738812,0.89999961990118,"G","treelet"
"20",1,1,"21","Ocotea corymbosa",6,"6.6","7.3","OCCO",6.6,7.3,34.2119151,41.853832775,1,41.853832775,34.2119151,3.29999860630433,3.64999845848812,"G","tree"
"21",1,1,"22","Gochnatia polymorpha",1.8,"1.2","1.5","GOPO",1.2,1.5,1.1309724,1.767144375,4,7.0685775,4.5238896,0.599999746600787,0.749999683250984,"G","tree"
"22",1,1,"23","Rapanea umbellata",1.7,"1","","RAUM",1,NA,0.7853975,0,4,0,3.14159,0.499999788833989,0,"G","tree"
"23",1,1,"24","Dimorphandra mollis",5,"8.6","9.4","DIMO",8.6,9.4,58.0879991,69.3977231,1,69.3977231,58.0879991,4.29999818397231,4.6999980150395,"S","tree"
"24",1,1,"25","Vochysia tucanorum",6.6,"12.5","15.5","VOTU",12.5,15.5,122.718359375,188.691749375,1,188.691749375,122.718359375,6.24999736042486,7.74999672692683,"G","tree"
"25",1,2,"26","Gochnatia polymorpha",3,"1.8+1.5+1.7+1.4","4.4","GOPO",1.8,4.4,8.12101015,15.2052956,4,60.8211824,32.4840406,1.60779284005867,2.19999907086955,"G","tree"
"26",1,2,"27","Gochnatia barrosii",3.5,"2.7+2.8","6.7","GOBA",2.8,6.7,11.883064175,35.256493775,1,35.256493775,11.883064175,1.94486421249889,3.34999858518773,"S","shrub"
"27",1,2,"28","Gochnatia polymorpha",3.5,"2.7+2.5+1.5+1.5","5+3.5","GOPO",2.7,5,14.1685709,29.256056875,4,117.0242275,56.6742836,2.12367516126313,3.0516376151286,"G","tree"
"28",1,2,"29","Myrcia fallax",2.5,"2.4","4.9","MYFA",2.4,4.9,4.5238896,18.857393975,4,75.4295759,18.0955584,1.19999949320157,2.44999896528655,"G","tree"
"29",1,2,"30","Vochysia tucanorum",4.5,"10.1","12.4","VOTU",10.1,12.4,80.118398975,120.7627196,1,120.7627196,80.118398975,5.04999786722329,6.19999738154147,"G","tree"
"30",1,2,"31","Leptolobium elegans",4,"7.4","9.5","LEEL",7.4,9.5,43.0083671,70.882124375,1,70.882124375,43.0083671,3.69999843737152,4.7499979939229,"S","tree"
"31",1,2,"32","Gochnatia polymorpha",5.5,"12.1","13.2","GOPO",12.1,13.2,114.990047975,136.8476604,1,136.8476604,114.990047975,6.04999744489127,6.59999721260866,"G","tree"
"32",1,2,"33","Gochnatia polymorpha",3.6,"6.5+6.5+6","10.5+8.2","GOPO",6.5,10.5,94.64039875,139.400202275,1,139.400202275,94.64039875,5.48862228200311,6.66126583467081,"G","tree"
"33",1,2,"34","Gochnatia polymorpha",4.9,"5.4","8.5","GOPO",5.4,8.5,22.9021911,56.744969375,1,56.744969375,22.9021911,2.69999885970354,4.24999820508891,"G","tree"
"34",1,2,"35","Annona crassiflora",6,"10.6","15.3","ANCR",10.6,15.3,88.2472631,183.853700775,1,183.853700775,88.2472631,5.29999776164028,7.64999676916003,"S","tree"
"35",1,2,"36","Vochysia tucanorum",7,"11.5","17.8","VOTU",11.5,17.8,103.868819375,248.8453439,1,248.8453439,103.868819375,5.74999757159087,8.89999624124501,"G","tree"
"36",1,2,"37","Diospyros hispida",6,"14.2","15.7","DIBU",14.2,15.7,158.3675519,193.592629775,1,193.592629775,158.3675519,7.09999700144265,7.84999668469363,"S","tree"
