"","X","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"1",1,"Lithraea","molleoides","Anacardiaceae","Lithraea molleoides","LIMO","F","tree","Lithraea molleoides","LIMO","(Vell.) Engl.","",NA,"G","G","G"
"2",2,"Tapirira","guianensis","Anacardiaceae","Tapirira guianensis","TAGU","G","tree","Tapirira guianensis","TAGU","Aubl.","",NA,"G","F","F"
"3",3,"Annona","cacans","Annonaceae","Annona cacans","ANCA","F","tree","Annona cacans","ANCA","Warm.","",NA,"F","F","F"
"4",4,"Annona","coriacea","Annonaceae","Annona coriacea","ANCO","S","tree","Annona coriacea","ANCO","Mart.","",NA,"S","S","S"
"5",5,"Annona","crassiflora","Annonaceae","Annona crassiflora","ANCR","S","tree","Annona crassiflora","ANCR","Mart.","",NA,"S","S","S"
"6",6,"Annona","dioica","Annonaceae","Annona dioica","ANDI","S","shrub","Annona dioica","ANDI","A. St.-Hil.","",NA,"S","S","S"
"8",8,"Duguetia","furfuracea","Annonaceae","Duguetia furfuracea","DUFU","S","shrub","Duguetia furfuracea","DUFU","(A.St.-Hil.) Saff.","",NA,"S","S","S"
"9",9,"Guatteria","nigrescens","Annonaceae","Guatteria nigrescens","GUNI","F","tree","Guatteria australis","GUAU","A.St.-Hil.","",NA,"F","F","F"
"11",11,"Xylopia","aromatica","Annonaceae","Xylopia aromatica","XYAR","G","tree","Xylopia aromatica","XYAR","(Lam.) Mart.","",NA,"G","G","S"
"12",12,"Aspidosperma","tomentosum","Apocynaceae","Aspidosperma tomentosum","ASTO","S","tree","Aspidosperma tomentosum","ASTO","Mart. & Zucc.","",NA,"S","S","S"
"14",14,"Tabernaemontana","catharinensis","Apocynaceae","Tabernaemontana catharinensis","TACA","G","tree","Tabernaemontana catharinensis","TACA","A.DC.","",NA,"G","F","F"
"16",16,"Schefflera","vinosa","Araliaceae","Schefflera vinosa","SCVI","S","treelet","Didymopanax vinosus","DIVI","(Cham. & Schltdl.) Marchal","",NA,"G","S","S"
"17",17,"Baccharis","dracunculifolia","Asteraceae","Baccharis dracunculifolia","BADR","G","treelet","Baccharis dracunculifolia","BADR","DC.","",NA,"G","G","G"
"22",22,"Gochnatia","barrosii","Asteraceae","Gochnatia barrosii","GOBA","S","shrub","Moquiniastrum barrosoae","MOBA","(Cabrera) G. Sancho","",NA,"G","G","S"
"23",23,"Gochnatia","polymorpha","Asteraceae","Gochnatia polymorpha","GOPO","G","tree","Moquiniastrum polymorphum","MOPO","(Less.) G. Sancho","",NA,"G","G","G"
"27",27,"Piptocarpha","axillaris","Asteraceae","Piptocarpha axillaris","PIAX","F","tree","Piptocarpha axillaris","PIAX","(Less.) Baker","",NA,"G","F","F"
"28",28,"Piptocarpha","rotundifolia","Asteraceae","Piptocarpha rotundifolia","PIRO","S","treelet","Piptocarpha rotundifolia","PIRO","(Less.) Baker","",NA,"S","S","S"
"35",35,"Jacaranda","caroba","Bignoniaceae","Jacaranda caroba","JACA","S","shrub","Jacaranda caroba","JACA","(Vell.) DC.","",NA,"S","S","S"
"40",40,"Tabebuia","ochracea","Bignoniaceae","Tabebuia ochracea","TAOC","S","tree","Handroanthus ochraceus","HAOC","(Cham.) Mattos","",NA,"G","G","G"
"41",41,"Zeyheria","montana","Bignoniaceae","Zeyheria montana","ZEMO","S","shrub","Zeyheria montana","ZEMO","Mart.","",NA,"S","S","S"
"42",42,"Zeyheria","tuberculosa","Bignoniaceae","Zeyheria tuberculosa","ZETU","G","tree","Zeyheria tuberculosa","ZETU","(Vell.) Bureau ex Verl.","",NA,"F","F","F"
"43",43,"Tabebuia","aurea","Bignoniaceae","Tabebuia aurea","TAAU","S","tree","Tabebuia aurea","TAAU","(Silva Manso) Benth. & Hook.f. ex S.Moore","",NA,"G","G","G"
"46",46,"Protium","heptaphyllum","Burseraceae","Protium heptaphyllum","PRHE","G","tree","Protium heptaphyllum","PRHE","(Aubl.) Marchand","",NA,"F","F","F"
"47",47,"Kielmeyera","coriacea","Calophyllaceae","Kielmeyera coriacea","KICO","S","tree","Kielmeyera coriacea","KICO","Mart. & Zucc.","",NA,"S","S","S"
