P,Sub,Number,Species,Ht,DBH,D30,,,,,
1,1,1,Campomanesia adamantium,1.96,1.9,2.9,,,,,
1,1,2,Campomanesia adamantium,1.5,1,4.1,,,,,
1,1,3,Gochnatia polymorpha,3,1.5,1.6,,,,,
1,1,4,Gochnatia polymorpha,3.5,4.8,4,,,,,
1,1,5,Campomanesia adamantium,1.95,1.2,2.5,,,,,
1,1,6,Campomanesia adamantium,2.25,1.5+1.3,3,,,,,
1,1,7,Campomanesia adamantium,1.8,1.7,3.2,,,,,
1,1,8,Gochnatia polymorpha,2.8,2,3.6,,,,,
1,1,9,Vochysia tucanorum,3.6,3,4.4,,,,,
1,1,10,Vochysia tucanorum,3.1,2.5,3.5,,,,,
1,1,11,Vochysia tucanorum,3.25,3.1,5.1,,,,,
1,1,12,Gochnatia polymorpha,5,12.6+7.1,14.8,,,,,
1,1,13,Gochnatia polymorpha,4.22,4.5,4.7,,,,,
1,1,14,Campomanesia adamantium,1.8,1,2.5,,,,,
1,1,15,Myrcia fallax,2.3,1,3.3,,,,,
1,1,16,Vochysia tucanorum,2.16,1.3,2.1,,,,,
1,1,17,Leptolobium elegans,3.2,6,9.3,,,,,
1,1,18,Gochnatia polymorpha,4.1,5.5,8.2,,,,,
1,1,19,Lacistema hasslerianum,2.41,1+1.2,1.8,,,,,
1,1,21,Ocotea corymbosa,6,6.6,7.3,,,,,
1,1,22,Gochnatia polymorpha,1.8,1.2,1.5,,,,,
1,1,23,Rapanea umbellata,1.7,1,,,,,,
1,1,24,Dimorphandra mollis,5,8.6,9.4,,,,,
1,1,25,Vochysia tucanorum,6.6,12.5,15.5,,,,,
1,2,26,Gochnatia polymorpha,3,1.8+1.5+1.7+1.4,4.4,,,,,
1,2,27,Gochnatia barrosii,3.5,2.7+2.8,6.7,,,,,
1,2,28,Gochnatia polymorpha,3.5,2.7+2.5+1.5+1.5,5+3.5,,,,,
1,2,29,Myrcia fallax,2.5,2.4,4.9,,,,,
1,2,30,Vochysia tucanorum,4.5,10.1,12.4,,,,,
1,2,31,Leptolobium elegans,4,7.4,9.5,,,,,
1,2,32,Gochnatia polymorpha,5.5,12.1,13.2,,,,,
1,2,33,Gochnatia polymorpha,3.6,6.5+6.5+6,10.5+8.2,,,,,
1,2,34,Gochnatia polymorpha,4.9,5.4,8.5,,,,,
1,2,35,Annona crassiflora,6,10.6,15.3,,,,,
1,2,36,Vochysia tucanorum,7,11.5,17.8,,,,,
1,2,37,Diospyros hispida,6,14.2,15.7,,,,,
1,2,38,Aegiphila verticillata,4,9.1,10.5,,,,,
1,2,39,Gochnatia polymorpha,4.5,9+7.1,10.3+7.8,,,,,
1,2,40,Machaerium brasiliense,6.5,6.1,7.6,,,,,
1,2,41,Gochnatia polymorpha,5,6.2+6+6.3,12.8+7.8,,,,,
1,3,42,Gochnatia polymorpha,3.2,4.7+2.9+2.5,6.1,,,,,
1,3,43,Gochnatia polymorpha,2.8,2.1,2.8,,,,,
1,3,44,Gochnatia polymorpha,2.8,2.2,2.7,,,,,
1,3,45,Myrcia fallax,1.9,1.2+1.1,2,,,,,
1,3,46,Vochysia tucanorum,4,4.7,6.1,,,,,
1,3,47,Zeyheria montana,1.9,1.2,2.3,,,,,
1,3,48,Gochnatia polymorpha,3.2,2.8+2,4.5+3.2,,,,,
1,3,49,Vochysia tucanorum,6,9.3,7.9,,,,,
1,3,50,Leptolobium elegans,4,7.2,10.6,,,,,
1,3,51,Vochysia tucanorum,5,8.6,10.5,,,,,
1,3,52,Myrcia fallax,3,5.9+5.5,7.3,,,,,
1,3,53,Myrcia fallax,4,7.1+5.8,8,,,,,
1,3,54,Myrcia fallax,3,5.2,5.4,,,,,
1,3,55,Gochnatia polymorpha,3.5,5.1+5,8.5,,,,,
1,3,56,Gochnatia polymorpha,5,5.3+7.5,8.6,,,,,
1,3,57,Myrcia fallax,4,5.9+7.5,7.2,,,,,
1,3,58,Gochnatia polymorpha,5,7.4,9.6,,,,,
1,3,60,Annona coriacea,2.5,5.2,6.3,,,,,
1,3,61,Vochysia tucanorum,4.5,9,10.7,,,,,
1,3,62,Gochnatia polymorpha,4,7.9,9.2,,,,,
1,4,59,Ocotea corymbosa,2.8,2.4,2.4,,,,,
1,4,64,Ocotea corymbosa,4,2,2.5,,,,,
1,4,65,Myrcia fallax,3.5,4.9+4.1,6.6,,,,,
1,4,66,Campomanesia adamantium,2.4,3.3,4.1,,,,,
1,4,67,Pera obovata,4.15,3.5,4.4,,,,,
1,4,68,Myrcia tomentosa,2.5,1.2,1.8,,,,,
1,4,69,Gochnatia polymorpha,3,2,2.8,,,,,
1,4,70,Myrcia fallax,2.8,1.4,2.4,,,,,
1,4,71,Miconia albicans,3.5,2+1.2,2.8,,,,,
1,4,72,Styrax camporum,2.85,2.6,3.3,,,,,
1,4,73,Miconia albicans,3.5,1.1,2.1+1.1,,,,,
1,4,74,Gochnatia polymorpha,2.1,4.1,5.5,,,,,
1,4,75,Miconia albicans,4.2,2.1+1.5,2.5+3.7+1.8+2.8+2.1,,,,,
1,4,76,Rapanea umbellata,,3.1,4.1,,,,,
1,4,77,Miconia ligustroides,5.05,6.5,8.4,,,,,
1,4,78,Gochnatia polymorpha,4,7,7.9,,,,,
1,4,79,Rapanea umbellata,5.05,7.5,9.7,,,,,
1,4,80,Gochnatia polymorpha,6,9,10.7,,,,,
1,4,81,Myrcia fallax,3.8,6.9,6.8+6.8,,,,,
1,4,82,Vochysia tucanorum,6,10.7,13.3,,,,,
1,4,83,Gochnatia polymorpha,5,14.4,15.8,,,,,
1,4,84,Stryphnodendron rotundifolium,3.85,8.8,6.7,,,,,
1,4,85,Gochnatia polymorpha,4.9,8+5.3,11.6,,,,,
1,4,86,Rapanea umbellata,5,5,6.3,,,,,
1,4,87,Rapanea umbellata,5.5,9.2,8.2,,,,,
1,4,88,Gochnatia polymorpha,4.1,6.7+5.3,11.8,,,,,
1,4,89,Gochnatia polymorpha,3.75,7,9.5,,,,,
1,4,90,Rapanea umbellata,5.3,9,7.1,,,,,
1,4,91,Gochnatia polymorpha,5.5,13.1,14.8,,,,,
1,4,92,Vochysia tucanorum,3,5.6,7.4,,,,,
1,5,93,Machaerium brasiliense,5,4.4,5.8,,,,,
1,5,94,Rapanea umbellata,3.5,2.4,2.8,,,,,
1,5,95,Rapanea umbellata,3,2.4,3,,,,,
