datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2888746	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R. Barneby"					"Hatschbach 46110"		"Gert G. Hatschbach"	1983	02	10			"South America"	Brazil	"Mato Grosso do Sul"		"Casa Branca (Mun. Bataguaçu)."	0	0																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2888864	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"G.P. Lewis, 18 Jun"	1986				"Lund 21901"		"Peter W. Lund"						"South America"	Brazil				0	0																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2888907	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R.E. Gereau"	1988				"Heringer 5311"		"Ezechias P. Heringer"	1980	08	18			"South America"	Brazil	"Distrito Federal"		"Bacia do Rio Sao Bartolomeu."	-47.9166667	-16.8																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2889020	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R.E. Gereau"	1988				"Heringer 5343"		"Ezechias P. Heringer"	1980	08	21			"South America"	Brazil	"Distrito Federal"		"Bacia do Rio Sao Bartolomeu."	-47.9166667	-16.8																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2889109	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R.E. Gereau"	1988				"Heringer 5385"		"Ezechias P. Heringer"	1980	08	28			"South America"	Brazil	"Distrito Federal"		"Córrego Pipiripau."	0	0																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2889140	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"Suin von Reis, 31 May"	1960				"Dusén 16476"		"Per Dusén"	1915	01	23			"South America"	Brazil	Paraná		"Morungava in campo rupestri."	0	0																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2889163	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R.E. Gereau"	1988				"Heringer 5424"		"Ezechias P. Heringer"	1980	09	01			"South America"	Brazil	"Distrito Federal"		"Bacia do Rio Sao Bartolomeu."	-47.9166667	-16.8																
"2016-10-10 10:07:36-03"	MOBOT	MOBOT_BR	2889271	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"R.E. Gereau"	1988				"Hatschbach 18033"		"Gert G. Hatschbach"	1967	12	05			"South America"	Brazil	Paraná		"Mun. Grossa. Passo do Pupo."	0	0																
"2018-12-03 11:55:09-02"	F	F_BOTANY_BR	V0115843F	"Anadenanthera peregrina falcata"	S	Plantae	Spermatophyta	Dicotyledoneae		Fabaceae	Anadenanthera	peregrina	falcata															"South America"	BRAZIL				-52.8731	-10.8339																
"2019-02-20 14:29:38-03"	INPA	INPA	171845	"Anadenanthera peregrina falcata"	S	Plantae	"Dicotyledon Rosids"		Fabales	Leguminosae-Mim	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"						46110		"Hatschbach, GG"	1983	02	10			"Southern America"	Brasil	"Mato Grosso do Sul"		"Bataguaçu, Casa Branca"	0	0																INPA0171845
