datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2013-02-07 10:18:16-02"	UMC	HUMC	1407	"Cecropia pachystachya"	S	Plantae				Cecropiaceae	Cecropia	pachystachya		Trécul						indet		"Tomasulo, P.L."	1997	06	20			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0				"Árvore cerca de 5m de altura, infrutescência escura, folhas níveo-tomentosa na face inferior.&nf;Habitat: Floresta estacional Semidecidual, mata ciliar."	
"2013-02-07 10:18:16-02"	UMC	HUMC	1380	"Cecropia pachystachya"	S	Plantae				Cecropiaceae	Cecropia	pachystachya		Trécul	"Sérgio Romainuc Neto"					indet		"Tomasulo, P.L."	2003	02	01			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-02-07 10:19:35-02"	UMC	HUMC	5296	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L	"Miranda, V. F. O. de"	2009	10	20		09		C.C.D.F.N	2009	09	19			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Área da COSIM (Companhia Siderúrgica de Mogi das Cruzes)"	-46.359722	0											0					
"2013-02-07 10:19:35-02"	UMC	HUMC	5263	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L						02		"A. Sanches; B.Camarg"	2009	10	10			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Área da COSIM (Companhia Siderúrgica de Mogi das Cruzes)"	-46.361111	-23.875556											0					
"2013-02-07 10:19:35-02"	UMC	HUMC	5121	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L						107		"Silva Jr., A. H."	2007	05	31			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Vila Industrial Parque Municipal Nagib Najar"	-46.212778	-23.519167											0					
"2013-02-07 10:19:35-02"	UMC	HUMC	2816	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L						167		"Decarli, J.L.A."	2006	12	06			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Praça João Antônio Batalha"	0	0	-46.1883	-23.5228	28666								0					
"2013-02-07 10:19:35-02"	UMC	HUMC	2979	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L								Mello,P.H.,	2006	05	13			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"C. de Souza, A.P.A Várzea, Estrada do Afia Faca"	-46.146667	-23.533611					740	740					0				"Cálice verde, inflorescência vermelha, amarela e laranja e a 60cm, herbácea."	
"2013-02-07 10:19:35-02"	UMC	HUMC	4295	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L								"R. Gusmã, A. F.; Per"	2007	03	10			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"B. Rio Acima, Estradado Afia Faca, APA da Várzea Beira da estrada, local de sol, solo seco."	0	0	-46.1883	-23.5228	28666								0				"Planta arbustiva com folhas alternas e infçlorescência axilar com flores amarelas e vermelhas. Beira de estrada, local de sol, solo seco."	
"2013-02-07 10:19:35-02"	UMC	HUMC	4332	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L	"Gusmã, A. F."	2007	03	24		13		"Gusmã, A. F.; Peres,"	2007	03	10			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Distri. César de Souza. Bairro Rio Acima APA da Várzea do Rio Tietê.&nf;Coletada à margem da estrada do \"afia faca\", próximo à várzea do Alto Tietê. Ambiente ensolarado, solo seco."	-46.148333	-23.54											0				"Planta herbácea ereta, com a inflorescência em capítulo, flores cor de rosa com miolo amarelo, folhas opostas."	
"2013-02-07 10:19:35-02"	UMC	HUMC	4333	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L	"Gusmã, A. F."	2007	03	24		11		"Gusmã, A. F.; Peres,"	2007	03	10			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Distri. César de Souza. Bairro Rio Acima APA da Várzea do Rio Tietê.&nf;Coletada à margem da estrada do \"afia faca\", próximo à várzea do Alto Tietê. Ambiente ensolarado, solo seco."	-46.148333	-23.54											0				"Planta herbácea ereta, com a inflorescência em capítulo, flores amarelas com miolo alaranjada, folhas opostas sem estípulas."	
"2013-02-07 10:19:35-02"	UMC	HUMC	5154	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L						168		"Silva Jr., A. H."	2007	07	25			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Vila Industrial Parque Municipal Nagib Najar"	0	-23.525556											0					
"2013-02-07 10:19:35-02"	UMC	HUMC	5228	"Lantana camara"	S	Plantae				Verbenaceae	Lantana	camara		L						02		"Santos N.R; Baia L.S"	2009	09	19			"Southern America"	Brazil	"São Paulo"	"Mogi das Cruzes"	"Área da COSIM (Companhia Siderúrgica de Mogi das Cruzes)"	-46.359722	0											0					
"2013-02-07 10:19:35-02"	UMC	HUMC	1438	"Qualea grandiflora"	S	Plantae				Vochysiaceae	Qualea	grandiflora								indet		"Tomasulo, P.L."						"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-02-07 10:19:35-02"	UMC	HUMC	1951	"Qualea grandiflora"	S	Plantae				Vochysiaceae	Qualea	grandiflora								799		"J.L.S Tannus"	2004	12	22			"Southern America"	Brazil	"São Paulo"	"Rio Claro"	"Fazenda São José"	0	0	-47.56	-22.41	21773								0					
"2013-02-07 10:19:26-02"	UMC	HUMC	1457	"Solanum lycocarpum"	S	Plantae				Solanaceae	Solanum	lycocarpum								432		"Tomasulo, P.L."	1997	02	17			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-02-07 10:19:26-02"	UMC	HUMC	3771	"Solanum lycocarpum"	S	Plantae				Solanaceae	Solanum	lycocarpum								1		"M.A. Nakano., E.F."	2007	04	14			"Southern America"	Brazil	"São Paulo"	"São Carlos"	"Reserva de Cerrado da UFSCar Cerrado."	-41.8825	-21.97											0				"Folhas verde-escuras grandes e com textura aveludada, face abaxial mais clara que a adaxial. Filotaxia alterna. Flores arroxeadas, anteras amarelas. Arbóresa, 3m;"	
"2013-02-07 10:19:35-02"	UMC	HUMC	1458	"Vochysia tucanorum"	S	Plantae				Vochysiaceae	Vochysia	tucanorum								486		"Tomasulo, P.L."	1997	02	25			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
