datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2014-09-23 11:02:25-03"	G	G-DC	G00142384	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		"A. DC."	CAT.HERB.PRODR.	2007	01	01	"HOLOTYPUS of Symplocos revoluta A. DC."	832		"Martius, C. F. P."	1841		00			"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=122154&base=img&lang=en"
"2017-09-11 17:14:08-03"	UnB	HBVIRTFLBRAS		"Symplocos revoluta"	O	Plantae				Symplocaceae	Symplocos	revoluta		Casar.						s.n.		"Riedel, L"						"Southern America"	Brazil	"Minas Gerais"		"Crescit in prov. Minarum ad Cachoeira do Campo."	0	0															
"2019-06-10 10:11:44-03"	FZB-BH	BHZB	3964	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta			"J.L.M Aranha Filho"	2013	12	10		888		"Ordones, J."	2002	05	30				Brasil	MG	"Catas Altas"	"Caraça/ Caminho do banho Belchior"	0	0	-43.4075012207031	-20.0746994018555	11966												
"2019-06-27 15:43:24-03"	Cenargen	CEN	109847	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		Casar.	"B. R. Teixeira"	2012	10			337		"Bernardo Rocha Teixeira"	2012	09	18				Brasil	DF	BRASILIA	"Fazenda Onoyama."	47.0727777	-15.707222										Exsicatas	4				"Botges florais verdes. Ambiente muito antropizado."
"2018-10-26 12:08:58-03"	Cenargen	CEN	28482	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		Casar.	"J. L. M. Aranha Filho"					403		"Alba Evangelista Ramos"	1991	06	27				Brasil	DF	BRASILIA	"Jardim Botânico de Brasília - 20 km de Brasília - Mata de galeria do Córrego cabeça de Veado, na borda. Alt.; 1025 - 1150m.."	-47.85	-15.86667										Exsicatas	1				"Doação do Herbário Ezecuias Paulo Heringer - HEPH (7335). Jardim Botânico de Brasília - Flora do Brasil."
"2018-10-26 12:08:58-03"	Cenargen	CEN	28567	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		Casar.	"J. L. M. Aranha Filho"					569		"Equipe do Jardim Botânico de Brasília"	1985	09	05				Brasil	DF	BRASILIA	"Jardim Botânico de Brasília, ca. de 20 km de Brasília. Na margem da mata. Alt.: 1025 - 1150m.."	0	0	-47.9296989440918	-15.7797002792358	70570							Exsicatas	1				"Frutos imaturos. Doação do Herbário Ezechias Paulo Heringer - HEPH (4400). Fundação Zoobotânica do Distrito Federal - Flora do Brasil."
"2019-06-27 15:43:24-03"	Cenargen	CEN	33450	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		Casar.	"J. L. M. Aranha Filho"	2010	06			183		"Alexandre Bonesso Sampaio"	1998	05	11				Brasil	DF	BRASILIA	"Mata do Córrego Açudinho, porção central da Fazenda Sucupira (CENARGEN/EMBRAPA)."	-48.03333	-15.92417					1080	1080				Exsicatas	4				"Coletada na parcela nº 16 da Fitossociologia, indivíduo nº 4. Casca amarela corticosa. Botges florais verdes."
"2019-06-27 15:43:24-03"	Cenargen	CEN	84640	"Symplocos revoluta"	S	Plantae				Symplocaceae	Symplocos	revoluta		Casar.	"B. M. T. Walter"	2013	12			304		"Clarissa Gouveia Fontes"	2008	10	20				Brasil	DF	BRASILIA	"Mata de galeria inundável do córrego Sem Nome - Faz. Sucupira."	0	0	-47.9296989440918	-15.7797002792358	70570							Exsicatas	2				
"2016-09-19 16:21:12-03"	UnB	UB	105812	"Symplocos revoluta"	S	Plantae	Dicotyledoneae			Symplocaceae	Symplocos	revoluta		A.DC.	"Aranha Filho, JLM"	2010	06			1313		"Nóbrega, MG"	2000	09	01			"Southern America"	Brasil	"Distrito Federal"	Brasília	"Jardim Botânico de Brasília, Jardim Botânico de Brasília"	-47.85	-15.533333															.
"2016-09-19 16:21:12-03"	UnB	UB	213390	"Symplocos revoluta"	S	Plantae	Dicotyledoneae			Symplocaceae	Symplocos	revoluta		A.DC.	"Walter, BMT"	2013	12			304		"Fontes, CG; et al."	2008	10	20			"Southern America"	Brasil	"Distrito Federal"	Brasília	"Faz. Sucupira"	0	0	-47.9296989440918	-15.7797002792358	70570												"Árvore com 12m de altura. Fruto negro; Mata de galeria inundável do córrego Sem Nome"
