Species,Code,FG,Life Form,Species,,Code,Code
Actinostemon schomburgkii,ACSC,F,treelet,Actinostemon,schomburgkii,ACSC,ACSC
Adenocalymma axillare,ADAX,S,shrub,Adenocalymma,axillare,ADAX,ADAX
Aegiphila verticillata,AEVE,S,tree,Aegiphila,verticillata,AEVE,AEVE
Alibertia edulis,ALED,S,Treelet,Alibertia,edulis,ALED,ALED
Amaioua intermedia,AMIN,G,tree,Amaioua,intermedia,AMIN,AMIN
Anadenanthera peregrina,ANPE,G,tree,Anadenanthera,peregrina,ANPE,ANPE
Annona cacans,ANCA,F,tree,Annona,cacans,ANCA,ANCA
Annona coriacea,ANCO,S,tree,Annona,coriacea,ANCO,ANCO
Annona crassiflora,ANCR,S,tree,Annona,crassiflora,ANCR,ANCR
Annona dioica,ANDI,S,shrub,Annona,dioica,ANDI,ANDI
Annona nutans,ANNU,S,shrub,Annona,nutans,ANNU,ANNU
Aspidosperma tomentosum,ASTO,S,tree,Aspidosperma,tomentosum,ASTO,ASTO
Baccharis dracunculifolia,BADR,G,treelet,Baccharis,dracunculifolia,BADR,BADR
Banisteriopsis campestris,BACA,S,shrub,Banisteriopsis,campestris,BACA,BACA
Bauhinia longifolia,BALO,F,tree,Bauhinia,longifolia,BALO,BALO
Bauhinia rufa,BARU,S,shrub,Bauhinia,rufa,BARU,BARU
Blepharocalyx salicifolius,BLSA,G,tree,Blepharocalyx,salicifolius,BLSA,BLSA
Bowdichia virgilioides,BOVI,S,tree,Bowdichia,virgilioides,BOVI,BOVI
Brosimum gaudichaudii,BRGA,S,tree,Brosimum,gaudichaudii,BRGA,BRGA
Byrsonima basiloba,BYBA,S,tree,Byrsonima,basiloba,BYBA,BYBA
Byrsonima coccolobifolia,BYCO,S,tree,Byrsonima,coccolobifolia,BYCO,BYCO
Byrsonima intermedia,BYIN,S,shrub,Byrsonima,intermedia,BYIN,BYIN
Calyptranthes concinna,CACO,F,tree,Calyptranthes,concinna,CACO,CACO
Calyptranthes lucida,CALU,F,tree,Calyptranthes,lucida,CALU,CALU
Campomanesia adamantium,CAAD,S,shrub,Campomanesia,adamantium,CAAD,CAAD
Campomanesia guaviroba,CAGU,F,tree,Campomanesia,guaviroba,CAGU,CAGU
Campomanesia guazumifolia,CAGU,F,tree,Campomanesia,guazumifolia,CAGU,CAGU
Campomanesia xanthocarpa,CAXA,F,tree,Campomanesia,xanthocarpa,CAXA,CAXA
Cariniana estrellensis,CAES,F,tree,Cariniana,estrellensis,CAES,CAES
Caryocar brasiliense,CABR,S,tree,Caryocar,brasiliense,CABR,CABR
Casearia decandra,CADE,F,tree,Casearia,decandra,CADE,CADE
Casearia gossypiosperma,CAGO,F,tree,Casearia,gossypiosperma,CAGO,CAGO
Casearia lasiophylla,CALA,F,tree,Casearia,lasiophylla,CALA,CALA
Casearia sylvestris,CASY,F,tree,Casearia,sylvestris,CASY,CASY
Cedrela fissilis,CEFI,F,tree,Cedrela,fissilis,CEFI,CEFI
Cestrum mariquitense,CEMA,F,shrub,Cestrum,mariquitense,CEMA,CEMA
Chamaecrista cathartica,CHCA,S,shrub,Chamaecrista,cathartica,CHCA,CHCA
Chiococca alba,CHAL,F,shrub,Chiococca,alba,CHAL,CHAL
Chomelia obtusa,CHOB,F,treelet,Chomelia,obtusa,CHOB,CHOB
Chromolaena laevigata,CHLA,G,shrub,Chromolaena,laevigata,CHLA,CHLA
Chromolaena maximilianii,CHMA,G,shrub,Chromolaena,maximilianii,CHMA,CHMA
Chromolaena oxylepis,CHOX,G,shrub,Chromolaena,oxylepis,CHOX,CHOX
Chromolaena squalida,CHSQ,G,shrub,Chromolaena,squalida,CHSQ,CHSQ
Chrysophyllum marginatum,CHMA,G,tree,Chrysophyllum,marginatum,CHMA,CHMA
Citrus ¡? limon,CI??,F,tree,Citrus,¡?,CI??,CI??
Connarus suberosus,COSU,S,treelet,Connarus,suberosus,COSU,COSU
Copaifera langsdorffii,COLA,G,tree,Copaifera,langsdorffii,COLA,COLA
Cordia sellowiana,COSE,F,tree,Cordia,sellowiana,COSE,COSE
Cordia trichotoma,COTR,F,tree,Cordia,trichotoma,COTR,COTR
Coutarea hexandra,COHE,G,tree,Coutarea,hexandra,COHE,COHE
Croton floribundus,CRFL,F,tree,Croton,floribundus,CRFL,CRFL
Cupania tenuivalvis,CUTE,G,treelet,Cupania,tenuivalvis,CUTE,CUTE
Cupania vernalis,CUVE,F,tree,Cupania,vernalis,CUVE,CUVE
Cybistax antisyphilitica,CYAN,S,tree,Cybistax,antisyphilitica,CYAN,CYAN
Dalbergia miscolobium,DAMI,S,tree,Dalbergia,miscolobium,DAMI,DAMI
Daphnopsis fasciculata,DAFA,G,tree,Daphnopsis,fasciculata,DAFA,DAFA
Daphnopsis racemosa,DARA,G,tree,Daphnopsis,racemosa,DARA,DARA
Dasyphyllum,DA,F,tree,Dasyphyllum,,DA,DA
Davilla elliptica,DAEL,S,shrub,Davilla,elliptica,DAEL,DAEL
