Genus,Species,Family,detail,Code,FG,Life Form
Actinostemon,schomburgkii,Euphorbiaceae,,ACSC,F,treelet
Adenocalymma,axillare,Bignoniaceae,,ADAX,S,shrub
Aegiphila,verticillata,Lamiaceae,,AEVE,S,tree
Alibertia,edulis,Rubiaceae,,ALED,F,Treelet
Amaioua,intermedia,Rubiaceae,,AMIN,G,tree
Anadenanthera,falcata,Fabaceae,,ANFA,G,tree
Annona,cacans,Annonaceae,,ANCA,F,tree
Annona,coriacea,Annonaceae,,ANCO,S,tree
Annona,crassiflora,Annonaceae,,ANCR,S,tree
Annona,dioica,Annonaceae,,ANDI,S,shrub
Annona,nutans,Annonaceae,,ANNU,S,shrub
Aspidosperma,tomentosum,Apocynaceae,,ASTO,S,tree
Baccharis,dracunculifolia,Asteraceae,,BADR,G,treelet
Banisteriopsis,campestris,Malpighiaceae,,BACA,S,shrub
Bauhinia,longifolia,Fabaceae,,BALO,F,tree
Bauhinia,rufa,Fabaceae,,BARU,S,shrub
Blepharocalyx,salicifolius,Myrtaceae,,BLSA,G,tree
Bowdichia,virgilioides,Fabaceae,,BOVI,S,tree
Brosimum,gaudichaudii,Moraceae,,BRGA,S,tree
Byrsonima,basiloba,Malpighiaceae,,BYBA,S,tree
Byrsonima,coccolobifolia,Malpighiaceae,,BYCO,S,tree
Byrsonima,intermedia,Malpighiaceae,,BYIN,S,shrub
Calyptranthes,concinna,Myrtaceae,,CACO,F,tree
Calyptranthes,lucida,Myrtaceae,,CALU,F,tree
Campomanesia,adamantium,Myrtaceae,,CAAD,S,shrub
Campomanesia,guaviroba,Myrtaceae,,CAGU,F,tree
Campomanesia,guazumifolia,Myrtaceae,,CAGU,F,tree
Campomanesia,xanthocarpa,Myrtaceae,,CAXA,F,tree
Cariniana,estrellensis,Lecythidaceae,,CAES,F,tree
Caryocar,brasiliense,Caryocaraceae,,CABR,S,tree
Casearia,decandra,Salicaceae,,CADE,F,tree
Casearia,gossypiosperma,Salicaceae,,CAGO,F,tree
Casearia,lasiophylla,Salicaceae,,CALA,F,tree
Casearia,sylvestris,Salicaceae,,CASY,F,tree
Cedrela,fissilis,Meliaceae,,CEFI,F,tree
Cestrum,mariquitense,Solanaceae,,CESE,F,shrub
Chamaecrista,cathartica,Fabaceae,,CHCA,S,shrub
Chiococca,alba,Rubiaceae,,CHAL,F,shrub
Chomelia,obtusa,Rubiaceae,,CHOB,F,treelet
Chromolaena,laevigata,Asteraceae,,CHLA,G,shrub
Chromolaena,maximilianii,Asteraceae,,CHMA,G,shrub
Chromolaena,oxylepis,Asteraceae,,CHOX,G,shrub
Chromolaena,squalida,Asteraceae,,CHSQ,G,shrub
Chrysophyllum,marginatum,Sapotaceae,,CHMA,G,tree
Citrus,limon,Rutaceae,,CILI,F,tree
Connarus,suberosus,Connaraceae,,COSU,S,treelet
Copaifera,langsdorffii,Fabaceae.,,COLA,G,tree
Cordia,sellowiana,Boraginaceae,,COSE,F,tree
Cordia,trichotoma,Boraginaceae,,COTR,F,tree
Coutarea,hexandra,Rubiaceae,,COHE,G,tree
Croton,floribundus,Euphorbiaceae,,CRFL,F,tree
Cupania,tenuivalvis,Sapindaceae,,CUTE,G,treelet
Cupania,vernalis,Sapindaceae,,CUVE,F,tree
Cybistax,antisyphilitica,Bignoniaceae,,CYAN,S,tree
Dalbergia,miscolobium,Fabaceae,,DAMI,S,tree
Daphnopsis,fasciculata,Thymelaeaceae,,DAFA,G,tree
Daphnopsis,racemosa,Thymelaeaceae,,DARA,G,tree
Dasyphyllum,sp1,Crassulaceae,,DASYP,F,tree
Davilla,elliptica,Dilleniaceae,,DAEL,S,shrub
Dendropanax,cuneatus,Araliaceae,,DECU,F,tree
Dimorphandra,mollis,Fabaceae,,DIMO,S,tree
Diospyros,burchelli,Ebenaceae,,DIBU,S,tree
Duguetia,furfuracea,Annonaceae,,DUFU,S,shrub
Eriotheca,gracilipes,Malvaceae,,ERGR,S,tree
Erythroxylum,cuneifolium,Erythroxylaceae,,ERCU,S,shrub
Erythroxylum,deciduum,Erythroxylaceae,,ERDE,G,tree
Erythroxylum,pelleterianum,Erythroxylaceae,,ERPE,G,treelet
Erythroxylum,suberosum,Erythroxylaceae,,ERSU,S,treelet
Esenbeckia,febrifuga,Rutaceae,,ESFE,F,treelet
Eugenia,aurata,Myrtaceae,,EUAU,S,treelet
Eugenia,bimarginata,Myrtaceae,,EUBI,S,shrub
Eugenia,florida,Myrtaceae,,EUFL,F,tree
Eugenia,livida,Myrtaceae,,EULI,S,treelet
Eugenia,myrcianthes,Myrtaceae,,EUMY,G,tree
Eugenia,punicifolia,Myrtaceae,,EUPU,S,treelet
Eugenia,pyriformis,Myrtaceae,,EUPY,S,treelet
Eugenia,sp5,Myrtaceae,,EUSP,F,tree
Eugenia,speciosa,Myrtaceae,,EUSP,F,tree
Faramea,montevidensis,Rubiaceae,,FAMO,G,tree
Ficus,sp1,Moraceae,,FICUS,F,tree
Ficus,citrifolia,Moraceae,,FICI,G,tree
Ficus,gomelleira,Moraceae,,FIGO,G,tree
Fridericia,platyphylla,Bignoniaceae,,FRPL,S,shrub
Gochnatia,barrosii,Asteraceae,,GOBA,S,shrub
Gochnatia,polymorpha,Asteraceae,,GOPO,G,tree
Gochnatia,pulchra,Asteraceae,,GOPU,S,shrub
Gomidesia,sp1,Myrtaceae,,GOMID,G,tree
Gomidesia,elliptica,Myrtaceae,,GOEL,F,tree
Guapira,graciliflora,Nyctaginaceae,,GUGR,F,tree
Guapira,hirsuta,Nyctaginaceae,,GUHI,F,tree
Guapira,opposita,Nyctaginaceae,,GUOP,G,tree
Guatteria,nigrescens,Annonaceae,,GUNI,F,tree
Hancornia,speciosa,Apocynaceae,,HASP,S,tree
Helicteres,brevispira,Malvaceae,,HEBR,G,treelet
Helietta,apiculata,Rutaceae,,HEAP,F,tree
Heteropterys,sp1,Malphigiaceae,,HETER,S,shrub
Heteropterys,byrsonimifolia,Malphigiaceae,,HEBY,S,shrub
Hymenaea,stigonocarpa,Fabaceae,,HYST,S,tree
Ixora,venulosa,Rubiaceae,,IXVE,F,tree
Jacaranda,caroba,Bignoniaceae,,JACA,S,shrub
Jacaranda,micrantha,Bignoniaceae,,JAMI,F,tree
Jacaranda,oxyphylla,Bignoniaceae,,JAOX,S,shrub
Jacaranda,rufa,Bignoniaceae,,JARU,S,shrub
Jacaranda,sp1,Bignoniaceae,,JACAR,S,shrub
Kielmeyera,coriacea,Calophyllaceae,,KICO,S,tree
Lacistema,hasslerianum,Lacistemataceae,,LAHA,G,treelet
Lafoensia,vandelliana,Lythraceae,,LAVA,S,tree
Lantana,camara,Verbenaceae,,LACA,G,shrub
Leandra,melastomoides,Melastomataceae,,LEME,G,treelet
Lepidaploa,chamissonis,Asteraceae,,LECH,S,shrub
Leptolobium,elegans,Fabaceae,,LEEL,S,tree
Lessingianthus,bardanoides,Asteraceae,,LEBA,S,shrub
Lessingianthus,bardanoides,Asteraceae,,LEBA,S,shrub
Lippia,salviifolia,Verbenaceae,,LISA,S,shrub
