Genus,Species,Family,Old.name,Code,FG,Life Form,New.name,NewCode,Authority,species.relative,genus.relative
Lithraea,molleoides,Anacardiaceae,Lithraea molleoides,LIMO,F,tree,Lithraea molleoides,LIMO,(Vell.) Engl.,,
Tapirira,guianensis,Anacardiaceae,Tapirira guianensis,TAGU,G,tree,Tapirira guianensis,TAGU,Aubl.,,
Annona,cacans,Annonaceae,Annona cacans,ANCA,F,tree,Annona cacans,ANCA,Warm.,,
Annona,coriacea,Annonaceae,Annona coriacea,ANCO,S,tree,Annona coriacea,ANCO,Mart.,,
Annona,crassiflora,Annonaceae,Annona crassiflora,ANCR,S,tree,Annona crassiflora,ANCR,Mart.,,
Annona,dioica,Annonaceae,Annona dioica,ANDI,S,shrub,Annona dioica,ANDI,A. St.-Hil.,,
Annona,nutans,Annonaceae,Annona nutans,ANNU,S,shrub,Annona nutans,ANNU,(R.E.Fr.) R.E.Fr.,,
Duguetia,furfuracea,Annonaceae,Duguetia furfuracea,DUFU,S,shrub,Duguetia furfuracea,DUFU,(A.St.-Hil.) Saff.,,
Guatteria,nigrescens,Annonaceae,Guatteria nigrescens,GUNI,F,tree,Guatteria australis,GUAU,A.St.-Hil.,,
Rollinia,sylvatica,Annonaceae,Rollinia sylvatica,ROSY,F,tree,Annona sylvatica,ANSY,A.St.-Hil.,,
Xylopia,aromatica,Annonaceae,Xylopia aromatica,XYAR,G,tree,Xylopia aromatica,XYAR,(Lam.) Mart.,,
Aspidosperma,tomentosum,Apocynaceae,Aspidosperma tomentosum,ASTO,S,tree,Aspidosperma tomentosum,ASTO,Mart. & Zucc.,,
Hancornia,speciosa,Apocynaceae,Hancornia speciosa,HASP,S,tree,Hancornia speciosa,HASP,Gomes,,
Tabernaemontana,catharinensis,Apocynaceae,Tabernaemontana catharinensis,TACA,G,tree,Tabernaemontana catharinensis,TACA,A.DC.,,
Dendropanax,cuneatus,Araliaceae,Dendropanax cuneatus,DECU,F,tree,Dendropanax cuneatus,DECU,,,
Schefflera,vinosa,Araliaceae,Schefflera vinosa,SCVI,S,treelet,Didymopanax vinosus,DIVI,(Cham. & Schltdl.) Marchal,,
Baccharis,dracunculifolia,Asteraceae,Baccharis dracunculifolia,BADR,G,treelet,Baccharis dracunculifolia,BADR,DC.,,
Chromolaena,laevigata,Asteraceae,Chromolaena laevigata,CHLA,G,shrub,Chromolaena laevigata,CHLA,(Lam.) R.M.King & H.Rob.,,
Chromolaena,maximilianii,Asteraceae,Chromolaena maximilianii,CHMA2,G,shrub,Chromolaena maximiliani,CHMA2,(Schrad. ex DC.) R.M.King & H.Rob.,,
Chromolaena,oxylepis,Asteraceae,Chromolaena oxylepis,CHOX,G,shrub,Chromolaena oxylepis,CHOX,,,
Chromolaena,squalida,Asteraceae,Chromolaena squalida,CHSQ,G,shrub,Chromolaena squalida,CHSQ,,,
Gochnatia,barrosii,Asteraceae,Gochnatia barrosii,GOBA,S,shrub,Moquiniastrum barrosoae,MOBA,(Cabrera) G. Sancho,,
Gochnatia,polymorpha,Asteraceae,Gochnatia polymorpha,GOPO,G,tree,Moquiniastrum polymorphum,MOPO,(Less.) G. Sancho,,
Gochnatia,pulchrum,Asteraceae,Gochnatia pulchrum,GOPU,S,shrub,Moquiniastrum pulchrum,MOPU,(Cabrera) G.Sancho,,
Lepidaploa,chamissonis,Asteraceae,Lepidaploa chamissonis,LECH,S,shrub,Lepidaploa chamissonis,LECH,,,
Lessingianthus,bardanoides,Asteraceae,Lessingianthus bardanoides,LEBA,S,shrub,Lessingianthus bardanoides,LEBA,,,
Piptocarpha,axillaris,Asteraceae,Piptocarpha axillaris,PIAX,F,tree,Piptocarpha axillaris,PIAX,(Less.) Baker,,
Piptocarpha,rotundifolia,Asteraceae,Piptocarpha rotundifolia,PIRO,S,treelet,Piptocarpha rotundifolia,PIRO,(Less.) Baker,,
Vernonanthura,phosphorica,Asteraceae,Vernonanthura phosphorica,VEPH,G,shrub,Vernonanthura phosphorica,VEPH,,,
Vernonia,sp1.,Asteraceae,Vernonia sp1.,VERNO1,S,shrub,Vernonia sp1.,VERNO1,,,
Vernonia,sp2.,Asteraceae,Vernonia sp2.,VERNO2,G,shrub,Vernonia sp2.,VERNO2,,,
Adenocalymma,axillare,Bignoniaceae,Adenocalymma axillare,ADAX,S,shrub,Adenocalymma axillare,ADAX,,,
Cybistax,antisyphilitica,Bignoniaceae,Cybistax antisyphilitica,CYAN,S,tree,Cybistax antisyphilitica,CYAN,,,
Fridericia,platyphylla,Bignoniaceae,Fridericia platyphylla,FRPL,S,shrub,Fridericia platyphylla,FRPL,,,
Jacaranda,caroba,Bignoniaceae,Jacaranda caroba,JACA,S,shrub,Jacaranda caroba,JACA,(Vell.) DC.,,
Jacaranda,micrantha,Bignoniaceae,Jacaranda micrantha,JAMI,F,tree,Jacaranda micrantha,JAMI,,,
Jacaranda,oxyphylla,Bignoniaceae,Jacaranda oxyphylla,JAOX,S,shrub,Jacaranda oxyphylla,JAOX,,,
