"","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"1","Lithraea","molleoides","Anacardiaceae","Lithraea molleoides","LIMO","F","tree","Lithraea molleoides","LIMO","(Vell.) Engl.","",NA,"G","G","G"
"2","Tapirira","guianensis","Anacardiaceae","Tapirira guianensis","TAGU","G","tree","Tapirira guianensis","TAGU","Aubl.","",NA,"G","F","F"
"3","Annona","cacans","Annonaceae","Annona cacans","ANCA","F","tree","Annona cacans","ANCA","Warm.","",NA,"F","F","F"
"4","Annona","coriacea","Annonaceae","Annona coriacea","ANCO","S","tree","Annona coriacea","ANCO","Mart.","",NA,"S","S","S"
"5","Annona","crassiflora","Annonaceae","Annona crassiflora","ANCR","S","tree","Annona crassiflora","ANCR","Mart.","",NA,"S","S","S"
"6","Annona","dioica","Annonaceae","Annona dioica","ANDI","S","shrub","Annona dioica","ANDI","A. St.-Hil.","",NA,"S","S","S"
"7","Annona","nutans","Annonaceae","Annona nutans","ANNU","S","shrub","Annona nutans","ANNU","(R.E.Fr.) R.E.Fr.","",NA,NA,NA,NA
"8","Duguetia","furfuracea","Annonaceae","Duguetia furfuracea","DUFU","S","shrub","Duguetia furfuracea","DUFU","(A.St.-Hil.) Saff.","",NA,"S","S","S"
"9","Guatteria","nigrescens","Annonaceae","Guatteria nigrescens","GUNI","F","tree","Guatteria australis","GUAU","A.St.-Hil.","",NA,"F","F","F"
"10","Rollinia","sylvatica","Annonaceae","Rollinia sylvatica","ROSY","F","tree","Annona sylvatica","ANSY","A.St.-Hil.","",NA,"F","F","F"
"11","Xylopia","aromatica","Annonaceae","Xylopia aromatica","XYAR","G","tree","Xylopia aromatica","XYAR","(Lam.) Mart.","",NA,"G","G","S"
"12","Aspidosperma","tomentosum","Apocynaceae","Aspidosperma tomentosum","ASTO","S","tree","Aspidosperma tomentosum","ASTO","Mart. & Zucc.","",NA,"S","S","S"
"13","Hancornia","speciosa","Apocynaceae","Hancornia speciosa","HASP","S","tree","Hancornia speciosa","HASP","Gomes","",NA,"S","S","S"
"14","Tabernaemontana","catharinensis","Apocynaceae","Tabernaemontana catharinensis","TACA","G","tree","Tabernaemontana catharinensis","TACA","A.DC.","",NA,"G","F","F"
"15","Dendropanax","cuneatus","Araliaceae","Dendropanax cuneatus","DECU","F","tree","Dendropanax cuneatus","DECU","","",NA,"F","F","F"
"16","Schefflera","vinosa","Araliaceae","Schefflera vinosa","SCVI","S","treelet","Didymopanax vinosus","DIVI","(Cham. & Schltdl.) Marchal","",NA,"G","S","S"
"17","Baccharis","dracunculifolia","Asteraceae","Baccharis dracunculifolia","BADR","G","treelet","Baccharis dracunculifolia","BADR","DC.","",NA,"G","G","G"
"18","Chromolaena","laevigata","Asteraceae","Chromolaena laevigata","CHLA","G","shrub","Chromolaena laevigata","CHLA","(Lam.) R.M.King & H.Rob.","",NA,"G","G","G"
"19","Chromolaena","maximilianii","Asteraceae","Chromolaena maximilianii","CHMA2","G","shrub","Chromolaena maximiliani","CHMA2","(Schrad. ex DC.) R.M.King & H.Rob.","",NA,"F","F","F"
"20","Chromolaena","oxylepis","Asteraceae","Chromolaena oxylepis","CHOX","G","shrub","Chromolaena oxylepis","CHOX","","",NA,"S","S","S"
"21","Chromolaena","squalida","Asteraceae","Chromolaena squalida","CHSQ","G","shrub","Chromolaena squalida","CHSQ","","",NA,"G","S","S"
"22","Gochnatia","barrosii","Asteraceae","Gochnatia barrosii","GOBA","S","shrub","Moquiniastrum barrosoae","MOBA","(Cabrera) G. Sancho","",NA,"G","G","S"
"23","Gochnatia","polymorpha","Asteraceae","Gochnatia polymorpha","GOPO","G","tree","Moquiniastrum polymorphum","MOPO","(Less.) G. Sancho","",NA,"G","G","G"
"24","Gochnatia","pulchrum","Asteraceae","Gochnatia pulchrum","GOPU","S","shrub","Moquiniastrum pulchrum","MOPU","(Cabrera) G.Sancho","",NA,"S","S","S"
"25","Lepidaploa","chamissonis","Asteraceae","Lepidaploa chamissonis","LECH","S","shrub","Lepidaploa chamissonis","LECH","","",NA,NA,NA,NA
"26","Lessingianthus","bardanoides","Asteraceae","Lessingianthus bardanoides","LEBA","S","shrub","Lessingianthus bardanoides","LEBA","","",NA,"S","S","S"
