"","species","savanna_count","forest_count","total_count","classification80","classification70","classification66"
"1","Actinostemon schomburgkii",0,1,1,NA,NA,NA
"2","Adenocalymma axillare",6,1,7,"S","S","S"
"3","Aegiphila integrifolia",43,137,180,"G","F","F"
"4","Aegiphila verticillata",65,8,73,"S","S","S"
"5","Alibertia edulis",0,11,11,"F","F","F"
"6","Amaioua intermedia",30,83,113,"G","F","F"
"7","Anadenanthera peregrina",116,77,193,"G","G","G"
"8","Annona cacans",1,39,40,"F","F","F"
"9","Annona coriacea",51,11,62,"S","S","S"
"10","Annona crassiflora",42,5,47,"S","S","S"
"11","Annona dioica",42,4,46,"S","S","S"
"12","Annona nutans",0,1,1,NA,NA,NA
"13","Annona sylvatica",2,80,82,"F","F","F"
"14","Aspidosperma tomentosum",55,10,65,"S","S","S"
"15","Baccharis dracunculifolia",72,45,117,"G","G","G"
"16","Banisteriopsis campestris",90,10,100,"S","S","S"
"17","Bauhinia longifolia",11,73,84,"F","F","F"
"18","Bauhinia rufa",62,4,66,"S","S","S"
"19","Blepharocalyx salicifolius",50,59,109,"G","G","G"
"20","Bowdichia virgilioides",51,5,56,"S","S","S"
"21","Brosimum gaudichaudii",58,13,71,"S","S","S"
"22","Byrsonima basiloba",6,0,6,"S","S","S"
"23","Byrsonima coccolobifolia",112,8,120,"S","S","S"
"24","Byrsonima intermedia",270,62,332,"S","S","S"
"25","Byrsonima laxiflora",4,16,20,"G","F","F"
"26","Calyptranthes concinna",32,122,154,"G","F","F"
"27","Calyptranthes lucida",0,64,64,"F","F","F"
"28","Campomanesia adamantium",42,9,51,"S","S","S"
"29","Campomanesia guaviroba",5,81,86,"F","F","F"
"30","Campomanesia guazumifolia",8,64,72,"F","F","F"
"31","Campomanesia xanthocarpa",13,55,68,"F","F","F"
"32","Cariniana estrellensis",0,64,64,"F","F","F"
"33","Caryocar brasiliense",118,13,131,"S","S","S"
"34","Casearia decandra",1,47,48,"F","F","F"
"35","Casearia gossypiosperma",3,75,78,"F","F","F"
"36","Casearia lasiophylla",6,20,26,"G","F","F"
"37","Casearia sylvestris",90,274,364,"G","F","F"
"38","Cecropia pachystachya",13,87,100,"F","F","F"
"39","Cedrela fissilis",4,70,74,"F","F","F"
"40","Cestrum mariquitense",7,31,38,"F","F","F"
"41","Chamaecrista cathartica",144,6,150,"S","S","S"
"42","Chiococca alba",18,70,88,"G","F","F"
"43","Chomelia obtusa",3,28,31,"F","F","F"
"44","Chromolaena laevigata",23,36,59,"G","G","G"
"45","Chromolaena maximiliani",9,46,55,"F","F","F"
"46","Chromolaena oxylepis",7,1,8,"S","S","S"
"47","Chromolaena squalida",36,12,48,"G","S","S"
"48","Chrysophyllum marginatum",28,101,129,"G","F","F"
"49","Citrus limon",1,2,3,NA,NA,NA
"50","Connarus suberosus",52,9,61,"S","S","S"
"51","Copaifera langsdorffii",81,136,217,"G","G","G"
"52","Cordia sellowiana",9,82,91,"F","F","F"
"53","Cordia trichotoma",7,63,70,"F","F","F"
"54","Coutarea hexandra",4,73,77,"F","F","F"
"55","Croton floribundus",18,190,208,"F","F","F"
"56","Cupania tenuivalvis",3,25,28,"F","F","F"
"57","Cupania vernalis",11,147,158,"F","F","F"
"58","Cybistax antisyphilitica",7,17,24,"G","F","F"
"59","Dalbergia miscolobium",57,6,63,"S","S","S"
"60","Daphnopsis fasciculata",4,23,27,"F","F","F"
"61","Daphnopsis racemosa",17,13,30,"G","G","G"
"62","Davilla elliptica",88,13,101,"S","S","S"
"63","Dendropanax cuneatus",16,177,193,"F","F","F"
"64","Didymopanax vinosus",150,47,197,"G","S","S"
"65","Dimorphandra mollis",87,25,112,"G","S","S"
"66","Diospyros lasiocalyx",23,3,26,"S","S","S"
"67","Duguetia furfuracea",162,17,179,"S","S","S"
"68","Eriotheca gracilipes",90,20,110,"S","S","S"
"69","Erythroxylum cuneifolium",63,48,111,"G","G","G"
"70","Erythroxylum deciduum",32,53,85,"G","G","G"
"71","Erythroxylum pelleterianum",56,46,102,"G","G","G"
"72","Erythroxylum suberosum",168,18,186,"S","S","S"
"73","Erythroxylum tortuosum",30,5,35,"S","S","S"
"74","Esenbeckia febrifuga",8,94,102,"F","F","F"
"75","Eugenia aurata",96,24,120,"G","S","S"
"76","Eugenia bimarginata",136,15,151,"S","S","S"
"77","Eugenia florida",4,112,116,"F","F","F"
"78","Eugenia livida",27,5,32,"S","S","S"
"79","Eugenia myrcianthes",6,10,16,"G","G","G"
"80","Eugenia punicifolia",184,26,210,"S","S","S"
"81","Eugenia pyriformis",76,76,152,"G","G","G"
"82","Eugenia speciosa",4,29,33,"F","F","F"
"83","Faramea montevidensis",3,42,45,"F","F","F"
"84","Ficus citrifolia",1,11,12,"F","F","F"
"85","Ficus gomelleira",0,14,14,"F","F","F"
"86","Fridericia platyphylla",61,11,72,"S","S","S"
"87","Guapira graciliflora",39,5,44,"S","S","S"
"88","Guapira hirsuta",0,46,46,"F","F","F"
"89","Guapira opposita",13,291,304,"F","F","F"
"90","Guatteria australis",21,269,290,"F","F","F"
"91","Guettarda viburnoides",10,36,46,"G","F","F"
"92","Hancornia speciosa",25,0,25,"S","S","S"
"93","Handroanthus ochraceus",24,27,51,"G","G","G"
"94","Helicteres brevispira",22,16,38,"G","G","G"
"95","Helietta apiculata",3,36,39,"F","F","F"
"96","Heteropterys byrsonimifolia",17,6,23,"G","S","S"
"97","Hymenaea stigonocarpa",26,12,38,"G","G","S"
