"","x"
"1","Lithraea molleoides"
"2","Tapirira guianensis"
"3","Annona cacans"
"4","Annona coriacea"
"5","Annona crassiflora"
"6","Annona dioica"
"7","Annona nutans"
"8","Duguetia furfuracea"
"9","Guatteria australis"
"10","Annona sylvatica"
"11","Xylopia aromatica"
"12","Aspidosperma tomentosum"
"13","Hancornia speciosa"
"14","Tabernaemontana catharinensis"
"15","Dendropanax cuneatus"
"16","Didymopanax vinosus"
"17","Baccharis dracunculifolia"
"18","Chromolaena laevigata"
"19","Chromolaena maximiliani"
"20","Chromolaena oxylepis"
"21","Chromolaena squalida"
"22","Moquiniastrum barrosoae"
"23","Moquiniastrum polymorphum"
"24","Moquiniastrum pulchrum"
"25","Lepidaploa chamissonis"
"26","Lessingianthus bardanoides"
"27","Piptocarpha axillaris"
"28","Piptocarpha rotundifolia"
"29","Vernonanthura phosphorica"
"30","Vernonia sp1."
"31","Vernonia sp2."
"32","Adenocalymma axillare"
"33","Cybistax antisyphilitica"
"34","Fridericia platyphylla"
"35","Jacaranda caroba"
"36","Jacaranda micrantha"
"37","Jacaranda oxyphylla"
"38","Jacaranda rufa"
"39","Jacaranda sp2"
"40","Handroanthus ochraceus"
"41","Zeyheria montana"
"42","Zeyheria tuberculosa"
"43","Tabebuia aurea"
"44","Cordia sellowiana"
"45","Cordia trichotoma"
"46","Protium heptaphyllum"
"47","Kielmeyera coriacea"
"48","Caryocar brasiliense"
"49","Maytenus robusta"
"50","Plenckia populnea"
"51","Terminalia glabrescens"
"52","Connarus suberosus"
"53","Dasyphyllum sp2"
"54","Davilla elliptica"
"55","Diospyros lasiocalyx"
"56","Erythroxylum cuneifolium"
"57","Erythroxylum deciduum"
"58","Erythroxylum pelleterianum"
"59","Erythroxylum suberosum"
"60","Erythroxylum tortuosum"
"61","Maprounea guianensis"
"62","Actinostemon schomburgkii"
"63","Croton floribundus"
"64","Anadenanthera peregrina"
"65","Bauhinia longifolia"
"66","Bauhinia rufa"
"67","Bowdichia virgilioides"
"68","Chamaecrista cathartica"
"69","Dalbergia miscolobium"
"70","Dimorphandra mollis"
"71","Hymenaea stigonocarpa"
"72","Leptolobium elegans"
"73","Machaerium acutifolium"
"74","Machaerium brasiliense"
"75","Machaerium stipitatum"
"76","Mimosa dolens"
"77","Parapiptadenia rigida"
"78","Piptadenia gonoacantha"
"79","Plathymenia reticulata"
"80","Platypodium elegans"
"81","Senna pendula"
"82","Senna rugosa"
"83","Stryphnodendron adstringens"
"84","Stryphnodendron rotundifolium"
"85","Sweetia fruticosa"
"86","Copaifera langsdorffii"
"87","Lacistema hasslerianum"
"88","Aegiphila verticillata"
"89","Vitex megapotamica"
"90","Aegiphila integrifolia"
"91","Nectandra cuspidata"
"92","Nectandra lanceolata"
