Genus species,Abundance,Genus,species,Code
Gochnatia polymorpha,677,Gochnatia,polymorpha,GOPO
Ocotea corymbosa,580,Ocotea,corymbosa,OCCO
Rapanea umbellata,432,Rapanea,umbellata,RAUM
Siparuna guianensis,378,Siparuna,guianensis,SIGU
Myrcia fallax,341,Myrcia,fallax,MYFA
Pera obovata,296,Pera,obovata,PEOB
Campomanesia adamantium,270,Campomanesia,adamantium,CAAD
Amaioua intermedia,265,Amaioua,intermedia,AMIN
Vochysia tucanorum,213,Vochysia,tucanorum,VOTU
Leptolobium elegans,177,Leptolobium,elegans,LEEL
Lacistema hasslerianum,123,Lacistema,hasslerianum,LAHA
Matayba elaeagnoides,114,Matayba,elaeagnoides,MAEL
Tapirira guianensis,111,Tapirira,guianensis,TAGU
Stryphnodendron rotundifolium,94,Stryphnodendron,rotundifolium,STRO
Daphnopsis racemosa,85,Daphnopsis,racemosa,DARA
Miconia ligustroides,84,Miconia,ligustroides,MILI
Machaerium brasiliense,82,Machaerium,brasiliense,MABR
Casearia sylvestris,79,Casearia,sylvestris,CASY
Gochnatia barrosii,66,Gochnatia,barrosii,GOBA
Myrcia tomentosa,61,Myrcia,tomentosa,MYTO
Copaifera langsdorffii,59,Copaifera,langsdorffii,COLA
Machaerium acutifolium,58,Machaerium,acutifolium,MAAC
Aegiphila verticillata,55,Aegiphila,verticillata,AEVE
Styrax camporum,51,Styrax,camporum,STCA
Terminalia glabrescens,49,Terminalia,glabrescens,TEGL
Anadenanthera falcata,47,Anadenanthera,falcata,ANFA
Ocotea minarum,45,Ocotea,minarum,OCMI
Platypodium elegans,44,Platypodium,elegans,PLEL
Symplocos pubescens,43,Symplocos,pubescens,SYPU
Myrcia multiflora,43,Myrcia,multiflora,MYMU
Tabernaemontana catharinensis,40,Tabernaemontana,catharinensis,TACA
Rapanea ferruginea,40,Rapanea,ferruginea,RAFE
Miconia albicans,38,Miconia,albicans,MIAL
Cupania vernalis,29,Cupania,vernalis,CUVE
Alibertia edulis,29,Alibertia,edulis,ALED
Plenckia populnea,28,Plenckia,populnea,PLPO
Ocotea pulchella,28,Ocotea,pulchella,OCPU
Schefflera vinosa,27,Schefflera,vinosa,SCVI
Eugenia myrcianthes,27,Eugenia,myrcianthes,EUMY
