OID,Individual,Old individual,Code,Number,Species,Fresh Length,Fresh Diameter,Type,Outer diameter,Wood diameter,Twig bark thickness,Relative bark thickness,Water displaced (g),Tweezer volume,Volume (mL),Dry mass (g),Density (g/mL),Latex,Comment,
1,MIAL1,,MIAL,1,Miconia albicans,8.62,5.1,C,6.27,4.51,0.88,0.140350877,,0.016,0.13811058,0.084,0.608208294,,,
2,ERSU1,,ERSU,1,Erythroxylem suberosum,5.5,5.1,C,11.63,4.75,3.44,0.295786758,,0.016,0.0881216,0.052,0.590093692,,,
3,Omit,DUFU1,DUFU,1,Duguetia furfuracea,5.01,5.1,C,6.62,3.89,1.365,0.206193353,,0.016,0.080270766,0.038,0.473397749,,[Duplicate of DUFU1; omitted in preference for the twig wood density - sf 082317],
4,STRO7,T2,STRO,7,Stryphnodendron rotundifolium,20.61,5.1,C,8.99,6.21,1.39,0.15461624,,0.016,0.330215666,0.134,0.405795405,,,
5,MYFA6,T4,MYFA,6,Myrica fallax,12,5.1,C,5.55,3.55,1,0.18018018,,0.016,0.192265308,0.095,0.494108901,,,
6,VOTU6,T3,VOTU,6,Vochysia tucanorum,26.81,5.1,C,7.19,5.66,0.765,0.106397775,,0.016,0.429552742,0.15,0.349200425,,,
7,GOPO6,T1,GOPO,6,Gochnatia polymorpha,50.05,5.1,C,8.99,6.21,1.39,0.15461624,,0.016,0.801906555,0.46,0.573632921,,,
8,JACA1,JACAR1-1,JACA,1,Jacaranda caroba,NA,NA,T,4.76,3.96,0.4,0.084033613,0.915,0.016,0.899,0.523,0.581757508,,,
9,ERCU3,,ERCU,3,Erythroxylem cuneifolium,NA,NA,T,5.95,4.64,0.655,0.110084034,0.877,0.016,0.861,0.743,0.862950058,,,
10,JACA2,JACAR1-2,JACA,2,Jacaranda caroba,NA,NA,T,10.33,9.03,0.65,0.062923524,2.905,0.016,2.889,1.339,0.463482174,,,
11,MAAC3,,MAAC,3,Machaerium acutifolium,11.96,5.1,C,7.61,6.1,0.755,0.099211564,0.2,0.016,0.24432114,0.147,0.601667133,,,
12,MYFA1,,MYFA,1,Myrcia fallax,11.67,5.15,C,4.75,3.59,0.58,0.122105263,0.175,0.016,0.24309433,0.137,0.563567238,,,
13,MAAC4,,MAAC,4,Machaerium acutifolium,26.4,5.1,C,5.37,3.52,0.925,0.172253259,0.495,0.016,0.539304189,0.384,0.712028588,,,
14,STRO3,,STRO,3,Stryphnodendron rotundifolium,24.52,5.16,C,5.91,3.66,1.125,0.19035533,0.483,0.016,0.512754386,0.204,0.397851302,,,
15,TACA5,,TACA,5,Tabernaemontana catherinensis,59,5.1,C,6.34,5.01,0.665,0.10488959,1.132,0.016,1.20526315,0.683,0.566681227,,,
16,STRO4,,STRO,4,Stryphnodendron rotundifolium,40,5.1,C,5.44,3.68,0.88,0.161764706,0.804,0.016,0.817127559,0.306,0.374482535,,,
17,OCCO3,,OCCO,3,Ocotea corymbosa,34.79,5.1,C,6.37,4.83,0.77,0.120879121,0.683,0.016,0.710696694,0.39,0.548757301,,,
18,TAGU1,TAGU-A,TAGU,1,Tapirira guianensis,NA,NA,T,6.35,5.23,0.56,0.088188976,0.897,0.02,0.877,0.462,0.526795895,,,
19,LEEL5,,LEEL,5,Leptolobium elegans,NA,NA,T,11.81,5.69,3.06,0.259102456,0.632,0.02,0.612,0.462,0.754901961,,,
20,MYMU2,,MYMU,2,Myrcia multiflora,NA,NA,T,7.39,6.33,0.53,0.071718539,0.961,0.02,0.941,0.699,0.74282678,,,
21,MYFA3,MYFA4,MYFA,3,Myrcia fallax,NA,NA,T,11.93,8.62,1.655,0.138725901,1.68,0.02,1.66,0.86,0.518072289,,,
22,SCVI2,,SCVI,2,Schefflera vinosa,NA,NA,T,9.65,7.57,1.04,0.107772021,1.254,0.02,1.234,0.566,0.458670989,,,
23,OCPU3,,OCPU,3,Ocotea pulchella,NA,NA,T,9.63,7.91,0.86,0.089304258,1.408,0.02,1.388,0.874,0.629682997,,,
24,TAGU3,,TAGU,3,Tapirira guianensis,NA,NA,T,7.72,6.96,0.38,0.049222798,0.787,0.02,0.767,0.465,0.606258149,,,
25,MYLI1,,MYLI,1,Myrcia lingua,NA,NA,T,8.18,3.66,2.26,0.276283619,0.416,0.02,0.396,0.213,0.537878788,,,
26,MYLI3,,MYLI,3,Myrcia lingua,NA,NA,T,12.06,8.14,1.96,0.16252073,0.795,0.02,0.775,0.385,0.496774194,,,
27,MYMU1,,MYMU,1,Myrcia multiflora,NA,NA,T,10.3,9.09,0.605,0.058737864,1.649,0.02,1.629,0.945,0.580110497,,,
28,RAFE1,MYFE2,RAFE,1,Myrcine ferrugeneus,NA,NA,T,6.73,5.12,0.805,0.11961367,0.73,0.02,0.71,0.402,0.566197183,,,
29,OCPU2,,OCPU,2,Ocotea pulchella,NA,NA,T,12.54,10.31,1.115,0.08891547,2.374,0.02,2.354,1.521,0.64613424,,,
30,MYLI2,,MYLI,2,Myrcia lingua,NA,NA,T,7.55,5.43,1.06,0.140397351,0.631,0.02,0.611,0.334,0.546644845,,,
31,TAGU3,TAGU-C,TAGU,3,Tapirira guianensis,NA,NA,T,9.22,7.57,0.825,0.089479393,1.055,0.02,1.035,0.618,0.597101449,,,
32,AEVE4,AEVE-A,AEVE,4,Aegiphila verticillata,NA,NA,T,5.45,4.36,0.545,0.1,0.75,0.02,0.73,0.242,0.331506849,,,
33,OCCO6,OCCO-C,OCCO,6,Ocotea corymbosa,NA,NA,T,9.17,7.49,0.84,0.091603053,1.378,0.02,1.358,0.793,0.583946981,,,
34,MYFA2,MYFA-A,MYFA,2,Myrcia fallax,NA,NA,T,9.66,7.4,1.13,0.116977226,1.532,0.02,1.512,0.765,0.505952381,,,
35,RAUM2,RAUM-B,RAUM,2,Rapanea umbellata,NA,NA,T,8.77,6.73,1.02,0.116305587,0.623,0.02,0.603,0.464,0.769485904,,,
36,RAUM1,RAUM-A,RAUM,1,Rapanea umbellata,NA,NA,T,7.39,6.19,0.6,0.081190798,0.7,0.02,0.68,0.447,0.657352941,,,
37,ZEMO1,ZEMO-A,ZEMO,1,Zeyheria montana,NA,NA,T,8.4,5.6,1.4,0.166666667,0.943,0.02,0.923,0.422,0.457204767,,,
38,MAEL3,MAEL-A,MAEL,3,Matayba elegans,NA,NA,T,10.26,8.35,0.955,0.093079922,1.15,0.02,1.13,0.529,0.468141593,,,
39,CALU1,CALU-A,CALU,1,Calyptranthes lucida,NA,NA,T,8.24,5.91,1.165,0.141383495,1.021,0.02,1.001,0.729,0.728271728,,,
40,MILI3,,MILI,3,Miconia lugustroides,NA,NA,T,9.83,7.28,1.275,0.129704985,0.586,0.02,0.566,0.372,0.657243816,,,
41,PLPO1,PLPO-A,PLPO,1,Plenckia populnea,NA,NA,T,7.06,4.78,1.14,0.161473088,0.894,0.02,0.874,0.518,0.592677346,,,
42,ANCR5,ANCR-A,ANCR,5,Annona crassiflora,NA,NA,T,8.24,4.65,1.795,0.217839806,0.955,0.02,0.935,0.301,0.321925134,,,
43,VOTU4,VOTU-A,VOTU,4,Vochysia tucanorum,NA,NA,T,6.61,5.2,0.705,0.106656581,0.525,0.02,0.505,0.243,0.481188119,,,
44,RAFE2,RAFE-A,RAFE,2,Rapanea ferrugeneus,NA,NA,T,8.31,6.28,1.015,0.122141998,1.575,0.02,1.555,1.002,0.64437299,,,
45,PLPO2,PLPO-B,PLPO,2,Plenckia populnea,NA,NA,T,7.68,5.06,1.31,0.170572917,0.703,0.02,0.683,0.414,0.606149341,,,
46,RAUM3,,RAUM,3,Rapanea umbellata,NA,NA,T,7.9,6.6,0.65,0.082278481,1.076,0.02,1.056,0.728,0.689393939,,,
47,OUSP6,OUSP-C,OUSP,6,Ouratea spectabilis,NA,NA,T,7.13,4.58,1.275,0.178821879,0.408,0.02,0.388,0.229,0.590206186,,,
