"","Species","Code","FG","Life.Form","Freq","BA"
"1","Actinostemon schomburgkii","ACSC","F","treelet",NA,0
"2","Adenocalymma axillare","ADAX","S","shrub",NA,0
"3","Aegiphila verticillata","AEVE","S","tree",56,2081.03633985
"4","Alibertia edulis","ALED","F","Treelet",29,1318.061938475
"5","Amaioua intermedia","AMIN","G","tree",265,11499.0047975
"6","Anadenanthera falcata","ANFA","G","tree",47,15153.9934353
"7","Annona cacans","ANCA","F","tree",3,689.68896065
"8","Annona coriacea","ANCO","S","tree",10,892.88700185
"9","Annona crassiflora","ANCR","S","tree",23,3013.813680725
"10","Annona dioica","ANDI","S","shrub",1,0
"11","Annona nutans","ANNU","S","shrub",NA,0
"12","Aspidosperma tomentosum","ASTO","S","tree",6,242.538601975
"13","Baccharis dracunculifolia","BADR","G","treelet",11,486.388817775
"14","Banisteriopsis campestris","BACA","S","shrub",NA,0
"15","Bauhinia longifolia","BALO","F","tree",11,594.035399125
"16","Bauhinia rufa","BARU","S","shrub",NA,0
"17","Blepharocalyx salicifolius","BLSA","G","tree",2,68.3609984
"18","Bowdichia virgilioides","BOVI","S","tree",6,1449.490356125
"19","Brosimum gaudichaudii","BRGA","S","tree",6,217.6179393
"20","Byrsonima basiloba","BYBA","S","tree",1,52.8101279
"21","Byrsonima coccolobifolia","BYCO","S","tree",2,102.5729135
"22","Byrsonima intermedia","BYIN","S","shrub",2,116.9928116
"23","Calyptranthes concinna","CACO","F","tree",1,66.4760444
"24","Calyptranthes lucida","CALU","F","tree",3,130.45452475
"25","Campomanesia adamantium","CAAD","S","shrub",270,8243.649969625
"26","Campomanesia guaviroba","CAGU","F","tree",4,195.132008875
"27","Campomanesia guazumifolia","CAGU","F","tree",4,195.132008875
"28","Campomanesia xanthocarpa","CAXA","F","tree",1,33.183044375
"29","Cariniana estrellensis","CAES","F","tree",1,52.8101279
"30","Caryocar brasiliense","CABR","S","tree",9,469.942594125
"31","Casearia decandra","CADE","F","tree",1,30.1906799
"32","Casearia gossypiosperma","CAGO","F","tree",NA,0
"33","Casearia lasiophylla","CALA","F","tree",1,35.256493775
"34","Casearia sylvestris","CASY","F","tree",79,5911.13720425
"35","Cedrela fissilis","CEFI","F","tree",1,72.3822336
"36","Cestrum mariquitense","CESE","F","shrub",1,10.1787516
"37","Chamaecrista cathartica","CHCA","S","shrub",NA,0
"38","Chiococca alba","CHAL","F","shrub",NA,0
"39","Chomelia obtusa","CHOB","F","treelet",1,16.6190111
"40","Chromolaena laevigata","CHLA","G","shrub",4,53.4698618
"41","Chromolaena maximilianii","CHMA","G","shrub",3,104.5521152
"42","Chromolaena oxylepis","CHOX","G","shrub",NA,0
"43","Chromolaena squalida","CHSQ","G","shrub",NA,0
"44","Chrysophyllum marginatum","CHMA","G","tree",3,104.5521152
"45","Citrus í„ limon","CIÍ„","F","tree",NA,0
"46","Connarus suberosus","COSU","S","treelet",1,32.1698816
"47","Copaifera langsdorffii","COLA","G","tree",59,11182.3325255
"48","Cordia sellowiana","COSE","F","tree",3,91.8915075
"49","Cordia trichotoma","COTR","F","tree",1,151.746650975
"50","Coutarea hexandra","COHE","G","tree",1,19.6349375
"51","Croton floribundus","CRFL","F","tree",6,1163.652789975
"52","Cupania tenuivalvis","CUTE","G","treelet",20,437.945499975
"53","Cupania vernalis","CUVE","F","tree",29,1189.162500775
